code NSF,code scolarité,sigle type formation,libellé type formation,libellé formation principal,sigle formation,durée,niveau de sortie indicatif,code RNCP,niveau de certification,libellé niveau de certification,tutelle,URL et ID Onisep,domaine/sous-domaine
133,,,formation d'école spécialisée,Diplôme supérieur d'écriture musicale et de musicologie du CNSMD de Paris,,5 ans,Bac + 5,36801.0,1,niveau 7 (bac + 5),Ministère de la Culture et de la communication,https://www.onisep.fr/http/redirection/formation/slug/FOR.4549,"arts, culture, artisanat/arts du spectacle"
128,,,formation d'école spécialisée,Diplôme de premier cycle de l'université Paris-Dauphine mention droit,,3 ans,Bac + 3,25257.0,2,niveau 6 (bac + 3),"Ministère de l'Enseignement supérieur, de la Recherche et de l'Innovation",https://www.onisep.fr/http/redirection/formation/slug/FOR.7333,"économie, droit, politique/droit (généralités)"
130,,CPGE,classe préparatoire littéraire et artistique,Classe préparatoire ENS Paris-Saclay 1re année section C arts et design (concours design),,1 an,Bac + 1,,0,non inscrit au RNCP,"Ministère de l'Enseignement supérieur, de la Recherche et de l'Innovation",https://www.onisep.fr/http/redirection/formation/slug/FOR.1451,"arts, culture, artisanat/arts appliqués"
133,,,formation d'école spécialisée,Diplôme de 2nd cycle supérieur de danseur interprète : répertoire et création du CNSMD de Paris,,2 ans,Bac + 5,36797.0,1,niveau 7 (bac + 5),non renseigné,https://www.onisep.fr/http/redirection/formation/slug/FOR.9352,"arts, culture, artisanat/arts du spectacle"
227,,mastère spé.,mastère spécialisé,mastère spé. Énergies renouvelables (Mines Paristech),,1 an,Bac + 6,,0,non inscrit au RNCP,non renseigné,https://www.onisep.fr/http/redirection/formation/slug/FOR.1519,"environnement, énergies, propreté/énergies | matières premières, fabrication, industries/génie industriel"
227,16X22701,mastère spé.,mastère spécialisé,mastère spé. Optimisation des systèmes énergétiques (Mines ParisTech),,1 an,Bac + 6,35272.0,1,niveau 7 (bac + 5),non renseigné,https://www.onisep.fr/http/redirection/formation/slug/FOR.2777,"environnement, énergies, propreté/énergies | armée, sécurité/sécurité, prévention"
227,,mastère spé.,mastère spécialisé,mastère spé. International Energy Management (alternatives pour l'énergie du futur - ALEF) (Mines ParisTech - INSA Lyon - Tsinghua University),,1 an,Bac + 6,,0,non inscrit au RNCP,non renseigné,https://www.onisep.fr/http/redirection/formation/slug/FOR.1520,"gestion des entreprises, comptabilité/administration de l'entreprise | environnement, énergies, propreté/énergies | environnement, énergies, propreté/environnement (généralités) | matières premières, fabrication, industries/fonction production (généralités) | économie, droit, politique/sciences économiques"
230,,,diplôme d'ingénieur,diplôme d'ingénieur de CY Tech de CY Cergy Paris Université spécialité génie civil,CY Tech,3 ans,Bac + 5,,1,niveau 7 (bac + 5),"Ministère de l'Enseignement supérieur, de la Recherche et de l'Innovation",https://www.onisep.fr/http/redirection/formation/slug/FOR.6132,"construction, architecture, travaux publics/génie civil | construction, architecture, travaux publics/génie civil, construction (généralités) | matières premières, fabrication, industries/matériaux"
231,17023201,,diplôme d'ingénieur,diplôme d'ingénieur de l'École supérieure d'ingénieurs Paris-Est de l'Université Gustave Eiffel spécialité génie civil,ESIPE UGE,3 ans,Bac + 5,,1,niveau 7 (bac + 5),"Ministère de l'Enseignement supérieur, de la Recherche et de l'Innovation",https://www.onisep.fr/http/redirection/formation/slug/FOR.8288,"matières premières, fabrication, industries/études et développement | matières premières, fabrication, industries/fabrication, productique | construction, architecture, travaux publics/génie civil | construction, architecture, travaux publics/travaux publics"
233,26X23304,,formation d'école spécialisée,Designer en architecture d'intérieur (MJM Graphic Design Paris),,3 ans,Bac + 3,34993.0,2,niveau 6 (bac + 3),non renseigné,https://www.onisep.fr/http/redirection/formation/slug/FOR.3524,"arts, culture, artisanat/arts appliqués"
222,,,diplôme d'ingénieur,diplôme d'ingénieur de CY Tech de CY Cergy Paris Université spécialité biotechnologie et chimie,CY Tech,3 ans,Bac + 5,,1,niveau 7 (bac + 5),"Ministère de l'Enseignement supérieur, de la Recherche et de l'Innovation",https://www.onisep.fr/http/redirection/formation/slug/FOR.6117,"sciences/biologie | matières premières, fabrication, industries/céramique, composites | sciences/chimie | matières premières, fabrication, industries/matériaux | santé, social, sport/santé (généralités)"
222,,,diplôme d'ingénieur,diplôme d'ingénieur de l'École supérieure de physique et de chimie industrielles de la ville de Paris,ESPCI,3 ans,Bac + 5,19798.0,1,niveau 7 (bac + 5),"Ministère de l'Enseignement supérieur, de la Recherche et de l'Innovation",https://www.onisep.fr/http/redirection/formation/slug/FOR.935,"sciences/biologie | sciences/chimie | matières premières, fabrication, industries/matériaux | sciences/physique"
231,,mastère spé.,mastère spécialisé,mastère spé. Génie civil des grands ouvrages pour l'énergie (École des Ponts ParisTech - CentraleSupélec),,1 an,Bac + 6,,0,non inscrit au RNCP,non renseigné,https://www.onisep.fr/http/redirection/formation/slug/FOR.3026,"construction, architecture, travaux publics/génie civil | construction, architecture, travaux publics/travaux publics"
231,,mastère spé.,mastère spécialisé,mastère spé. Génie civil européen (École des Ponts Paristech),,1 an,Bac + 6,,0,non inscrit au RNCP,non renseigné,https://www.onisep.fr/http/redirection/formation/slug/FOR.1419,"construction, architecture, travaux publics/génie civil, construction (généralités)"
