geo_point_2d;geo_shape;nature_l;sigle;secteur;code_postal;commune;academie;denom;nom_lycee;dept
48.83607940897043, 2.6576433910620194;"{""coordinates"": [2.657643391062019, 48.83607940897043], ""type"": ""Point""}";Lycée d'enseignement général et technologique;LGT;Public;77468;Torcy;Créteil;LYCEE GENERAL ET TECHNOLOGIQUE;JEAN-MOULIN;77
48.798942579360585, 2.648511217067818;"{""coordinates"": [2.648511217067818, 48.798942579360585], ""type"": ""Point""}";Lycée d'enseignement général et technologique;LGT;Public;77390;Roissy-en-Brie;Créteil;LYCEE GENERAL ET TECHNOLOGIQUE;CHARLES-LE-CHAUVE;77
48.37750138117904, 2.9445294237381208;"{""coordinates"": [2.944529423738121, 48.37750138117904], ""type"": ""Point""}";Lycée polyvalent;LPO;Public;77305;Montereau-Fault-Yonne;Créteil;LPO LYCEE DES METIERS;FLORA-TRISTAN;77
48.65334615159176, 2.562670496316111;"{""coordinates"": [2.562670496316111, 48.65334615159176], ""type"": ""Point""}";Lycée d'enseignement général et technologique;LGT;Public;77122;Combs-la-Ville;Créteil;LYCEE GENERAL ET TECHNOLOGIQUE;GALILÉE;77
48.7135761970877, 2.198829733856071;"{""coordinates"": [2.198829733856071, 48.7135761970877], ""type"": ""Point""}";Lycée d'enseignement général et technologique;LGT;Public;91477;Palaiseau;Versailles;LYCEE ENSEIGNT GENERAL ET TECH;LYCÉE NEUF PALAISEAU;91
48.73347588710834, 2.266514062364269;"{""coordinates"": [2.266514062364269, 48.73347588710834], ""type"": ""Point""}";Lycée d'enseignement général et technologique;LGT;Public;91377;Massy;Versailles;LYCEE GENERAL ET TECHNOLOGIQUE;FUSTEL-DE-COULANGES;91
48.90959211781065, 2.305742585556538;"{""coordinates"": [2.305742585556538, 48.90959211781065], ""type"": ""Point""}";Lycée polyvalent;LPO;Public;92024;Clichy;Versailles;LYCEE POLYVALENT;NEWTON-ENREA;92
48.96507157532561, 2.8851449084996377;"{""coordinates"": [2.885144908499638, 48.96507157532561], ""type"": ""Point""}";Lycée d'enseignement général;LG;Privé;77284;Meaux;Créteil;LYCEE GENERAL PRIVE;INSTITUT-BOSSUET;77
48.817611073150516, 2.143973983956219;"{""coordinates"": [2.143973983956219, 48.817611073150516], ""type"": ""Point""}";Lycée professionnel;LP;Privé;78646;Versailles;Versailles;LYCEE PROFESSIONNEL PRIVE;LES-CHATAIGNIERS (PROFESSIONNEL);78
48.85187416580788, 2.332062973688081;"{""coordinates"": [2.332062973688081, 48.85187416580788], ""type"": ""Point""}";Lycée polyvalent;LPO;Public;75106;Paris 6e Arrondissement;Paris;LYCEE POLYVALENT;MAXIMILIEN-VOX-ART-DESSIN;75
48.94314037366837, 2.1455054962279103;"{""coordinates"": [2.14550549622791, 48.94314037366837], ""type"": ""Point""}";Lycée d'enseignement général et technologique;LGT;Privé;78358;Maisons-Laffitte;Versailles;LYCEE GEN. ET TECHNOL. PRIVE;ERMITAGE (L');78
48.26219078099794, 2.7130362494506035;"{""coordinates"": [2.713036249450604, 48.26219078099794], ""type"": ""Point""}";Lycée polyvalent;LPO;Public;77333;Nemours;Créteil;LPO LYCEE DES METIERS;ETIENNE-BEZOUT;77
48.842419591316336, 2.6155418364121967;"{""coordinates"": [2.615541836412197, 48.842419591316336], ""type"": ""Point""}";Lycée polyvalent;LPO;Public;77337;Noisiel;Créteil;LYCEE POLYVALENT;SIMONE-VEIL;77
49.0204904164705, 2.9657519883324985;"{""coordinates"": [2.965751988332499, 49.0204904164705], ""type"": ""Point""}";Lycée polyvalent;LPO;Public;77126;Congis-sur-Thérouanne;Créteil;LPO LYCEE DES METIERS;GUÉ-A-TRESMES (DU);77
48.838907090596265, 2.639627035514576;"{""coordinates"": [2.639627035514576, 48.838907090596265], ""type"": ""Point""}";Lycée d'enseignement général et technologique;LGT;Public;77258;Lognes;Créteil;LYCEE GENERAL ET TECHNOLOGIQUE;EMILY-BRONTË;77
48.88858424685504, 2.6126398905040102;"{""coordinates"": [2.61263989050401, 48.88858424685504], ""type"": ""Point""}";Lycée polyvalent;LPO;Public;77108;Chelles;Créteil;LPO LYCEE DES METIERS;JEHAN-DE-CHELLES;77
48.92235085424677, 2.2819828085604414;"{""coordinates"": [2.281982808560441, 48.92235085424677], ""type"": ""Point""}";Lycée d'enseignement général et technologique;LGT;Public;92004;Asnières-sur-Seine;Versailles;LYCEE GENERAL ET TECHNOLOGIQUE;AUGUSTE-RENOIR;92
48.833307948464565, 2.2389157232706762;"{""coordinates"": [2.238915723270676, 48.833307948464565], ""type"": ""Point""}";Lycée d'enseignement général et technologique;LGT;Public;92012;Boulogne-Billancourt;Versailles;LYCEE GENERAL ET TECHNOLOGIQUE;JACQUES-PRÉVERT;92
48.89983771698363, 2.0857756350780265;"{""coordinates"": [2.085775635078027, 48.89983771698363], ""type"": ""Point""}";Lycée polyvalent;LPO;Public;78551;Saint-Germain-en-Laye;Versailles;LPO LYCEE DES METIERS;JEAN-BAPTISTE-POQUELIN;78
48.89987360472576, 2.256805062088212;"{""coordinates"": [2.256805062088212, 48.89987360472576], ""type"": ""Point""}";Lycée d'enseignement général et technologique;LGT;Public;92026;Courbevoie;Versailles;LYCEE GENERAL ET TECHNOLOGIQUE;PAUL-LAPIE;92
48.792944329705584, 2.3008193855664767;"{""coordinates"": [2.300819385566477, 48.792944329705584], ""type"": ""Point""}";Lycée d'enseignement général et technologique;LGT;Privé;92007;Bagneux;Versailles;LYCEE GEN.ET TECHNOL.PRIVE;SAINT-GABRIEL (Apprentis d'Auteuil);92
48.94924490080482, 2.4177569647819364;"{""coordinates"": [2.417756964781936, 48.94924490080482], ""type"": ""Point""}";Lycée polyvalent;LPO;Public;93030;Dugny;Créteil;LPO LYCEE DES METIERS;FRANCOIS-RABELAIS;93
48.85968839019086, 2.4565729275505803;"{""coordinates"": [2.45657292755058, 48.85968839019086], ""type"": ""Point""}";Lycée polyvalent;LPO;Public;93048;Montreuil;Créteil;LPO LYCEE DES METIERS;HORTICULTURE-ET-DU-PAYSAGE-JEANNE-BARET;93
48.85574867707106, 2.4863687107757197;"{""coordinates"": [2.48636871077572, 48.85574867707106], ""type"": ""Point""}";Lycée d'enseignement général et technologique;LGT;Public;94033;Fontenay-sous-Bois;Créteil;LYCEE GENERAL ET TECHNOLOGIQUE;PABLO-PICASSO;94
48.84671607324175, 2.491306063396943;"{""coordinates"": [2.491306063396943, 48.84671607324175], ""type"": ""Point""}";Lycée polyvalent;LPO;Public;94052;Nogent-sur-Marne;Créteil;LPO LYCEE DES METIERS;LOUIS-ARMAND;94
48.85320233299939, 2.340787233891201;"{""coordinates"": [2.340787233891201, 48.85320233299939], ""type"": ""Point""}";Lycée d'enseignement général;LG;Public;75106;Paris 6e Arrondissement;Paris;LYCEE GENERAL;FÉNELON;75
48.79227476530034, 2.3291492937976614;"{""coordinates"": [2.329149293797661, 48.79227476530034], ""type"": ""Point""}";Lycée professionnel;LP;Privé;94016;Cachan;Créteil;LYCEE PROFESSIONNEL PRIVE;ROBERT-KELLER;94
48.986178293909894, 2.4075015622159097;"{""coordinates"": [2.40750156221591, 48.986178293909894], ""type"": ""Point""}";Lycée professionnel;LP;Public;95019;Arnouville-lès-Gonesse;Versailles;LP LYCEE DES METIERS;VIRGINIA-HENDERSON;95
48.929186059940584, 2.3671143400974053;"{""coordinates"": [2.367114340097405, 48.929186059940584], ""type"": ""Point""}";Lycée polyvalent;LPO;Public;93066;Saint-Denis;Créteil;LPO LYCEE DES METIERS;SUGER;93
48.76758196348902, 1.9452236424564475;"{""coordinates"": [1.945223642456448, 48.76758196348902], ""type"": ""Point""}";Lycée d'enseignement général et technologique;LGT;Public;78383;Maurepas;Versailles;LYCEE GENERAL ET TECHNOLOGIQUE;SEPT-MARES (LES);78
48.95491825067561, 2.3222350431454593;"{""coordinates"": [2.322235043145459, 48.95491825067561], ""type"": ""Point""}";Lycée d'enseignement général et technologique;LGT;Public;93031;Épinay-sur-Seine;Créteil;LYCEE GENERAL ET TECHNOLOGIQUE;JACQUES-FEYDER;93
48.82526642137646, 2.211411804958272;"{""coordinates"": [2.211411804958272, 48.82526642137646], ""type"": ""Point""}";Lycée d'enseignement général et technologique;LGT;Public;92072;Sèvres;Versailles;LYCEE GENERAL ET TECHNOLOGIQUE;JEAN-PIERRE-VERNANT;92
48.90870417161492, 2.4282079669932175;"{""coordinates"": [2.428207966993218, 48.90870417161492], ""type"": ""Point""}";Lycée professionnel;LP;Public;93008;Bobigny;Créteil;LP LYCEE DES METIERS;ALFRED-COSTES;93
48.916907671622134, 2.3858905519524476;"{""coordinates"": [2.385890551952448, 48.916907671622134], ""type"": ""Point""}";Lycée polyvalent;LPO;Public;93001;Aubervilliers;Créteil;LYCEE POLYVALENT;ALEMBERT (D');93
48.95348494561076, 2.3699100356555847;"{""coordinates"": [2.369910035655585, 48.95348494561076], ""type"": ""Point""}";Lycée polyvalent;LPO;Public;93072;Stains;Créteil;LYCEE POLYVALENT;MAURICE-UTRILLO;93
48.79053308559904, 2.354165854181335;"{""coordinates"": [2.354165854181335, 48.79053308559904], ""type"": ""Point""}";Lycée d'enseignement général et technologique;LGT;Privé;94076;Villejuif;Créteil;LYCEE GENERAL ET TECHNOLOGIQUE;SAINT-JOSEPH;
48.84236221489155, 2.339294722131696;"{""coordinates"": [2.339294722131696, 48.84236221489155], ""type"": ""Point""}";Lycée d'enseignement général;LG;Public;75105;Paris 5e Arrondissement;Paris;LYCEE GENERAL;LAVOISIER;75
48.88151204087948, 2.395876177842874;"{""coordinates"": [2.395876177842874, 48.88151204087948], ""type"": ""Point""}";Lycée polyvalent;LPO;Public;75119;Paris 19e Arrondissement;Paris;LYCEE POLYVALENT;DIDEROT;75
48.78147971190463, 2.3036228211298675;"{""coordinates"": [2.303622821129867, 48.78147971190463], ""type"": ""Point""}";Lycée polyvalent;LP;Public;92071;Sceaux;Versailles;LPO LYCEE DES METIERS;FLORIAN;92
48.7955843402752, 2.27164573253281;"{""coordinates"": [2.27164573253281, 48.7955843402752], ""type"": ""Point""}";Lycée d'enseignement général et technologique;LGT;Public;92023;Clamart;Versailles;LYCEE GENERAL ET TECHNOLOGIQUE;JACQUES-MONOD;92
48.982752980810865, 2.389544592031847;"{""coordinates"": [2.389544592031847, 48.982752980810865], ""type"": ""Point""}";Lycée d'enseignement général et technologique;LGT;Privé;95585;Sarcelles;Versailles;LYCEE GEN.ET TECHNOL.PRIVE;OZAR-HATORAH;95
48.849102651820985, 2.3416921685730463;"{""coordinates"": [2.341692168573046, 48.849102651820985], ""type"": ""Point""}";Lycée d'enseignement général;LG;Public;75106;Paris 6e Arrondissement;Paris;LYCEE GENERAL;SAINT-LOUIS;75
48.848043335306365, 2.293161642194105;"{""coordinates"": [2.293161642194105, 48.848043335306365], ""type"": ""Point""}";Lycée d'enseignement général et technologique;LGT;Public;75115;Paris 15e Arrondissement;Paris;LGT LYCEE DES METIERS;ROGER-VERLOMME;75
48.89221910703404, 2.0647837922077343;"{""coordinates"": [2.064783792207734, 48.89221910703404], ""type"": ""Point""}";Lycée polyvalent;LPO;Public;78551;Saint-Germain-en-Laye;Versailles;LPO LYCEE DES METIERS;LÉONARD-DE-VINCI;78
48.71141643186354, 2.3917620097700594;"{""coordinates"": [2.391762009770059, 48.71141643186354], ""type"": ""Point""}";Lycée polyvalent;LPO;Public;91027;Athis-Mons;Versailles;LYCEE POLYVALENT;CLÉMENT-ADER;91
48.84307843888107, 2.228471816673713;"{""coordinates"": [2.228471816673713, 48.84307843888107], ""type"": ""Point""}";Lycée d'enseignement général et technologique;LGT;Privé;92012;Boulogne-Billancourt;Versailles;LYCEE GEN.ET TECHNOL.PRIVE;RAMBAM;92
48.83569735891445, 2.3164692817534336;"{""coordinates"": [2.316469281753434, 48.83569735891445], ""type"": ""Point""}";Etablissement régional d'enseignement adapté;EREA;Public;75114;Paris 14e Arrondissement;Paris;ETAB.REGIONAL ENSEIGNT ADAPTE;CROCÉ-SPINELLI;75
48.85413604179264, 2.326766486307524;"{""coordinates"": [2.326766486307524, 48.85413604179264], ""type"": ""Point""}";Lycée d'enseignement général;LG;Privé;75107;Paris 7e Arrondissement;Paris;LYCEE GENERAL PRIVE;SAINT-THOMAS-D'AQUIN;75
48.86687861265545, 2.4369279971694953;"{""coordinates"": [2.436927997169495, 48.86687861265545], ""type"": ""Point""}";Lycée polyvalent;LPO;Public;93048;Montreuil;Créteil;LPO LYCEE DES METIERS;EUGÉNIE-COTTON;93
48.90256519706633, 2.5483191056019745;"{""coordinates"": [2.548319105601974, 48.90256519706633], ""type"": ""Point""}";Lycée polyvalent;LPO;Public;93014;Clichy-sous-Bois;Créteil;LYCEE POLYVALENT;ALFRED-NOBEL;93
48.852291250853284, 2.314846539506852;"{""coordinates"": [2.314846539506852, 48.852291250853284], ""type"": ""Point""}";Lycée d'enseignement général;LG;Public;75107;Paris 7e Arrondissement;Paris;LYCEE GENERAL;VICTOR-DURUY;75
48.75278018144314, 1.9418716406829606;"{""coordinates"": [1.941871640682961, 48.75278018144314], ""type"": ""Point""}";Ecole régionale du premier degré;ERPD;Public;78644;La Verrière;Versailles;EC.REGIONALE DU PREMIER DEGRE;LA-VERRIERE;78
48.96358704296391, 2.8797441478468584;"{""coordinates"": [2.879744147846858, 48.96358704296391], ""type"": ""Point""}";Lycée polyvalent;LPO;Privé;77284;Meaux;Créteil;LYCEE POLYVALENT PRIVE;JEAN-ROSE;77
48.9531428608697, 1.8549279669331187;"{""coordinates"": [1.854927966933119, 48.9531428608697], ""type"": ""Point""}";Lycée polyvalent;LPO;Public;78029;Aubergenville;Versailles;LYCEE POLYVALENT;VINCENT-VAN-GOGH;78
48.833409808294945, 2.3263775278657923;"{""coordinates"": [2.326377527865792, 48.833409808294945], ""type"": ""Point""}";Lycée professionnel;LP;Public;75114;Paris 14e Arrondissement;Paris;LP LYCEE DES METIERS;ERIK-SATIE;75
48.695059568828604, 2.190734166884314;"{""coordinates"": [2.190734166884314, 48.695059568828604], ""type"": ""Point""}";Lycée d'enseignement général et technologique;LGT;Privé;91471;Orsay;Versailles;LYCEE GEN.ET TECHNOL.PRIVE;COURS-SECONDAIRE-D'ORSAY;91
48.782846639372586, 2.4626429628566617;"{""coordinates"": [2.462642962856662, 48.782846639372586], ""type"": ""Point""}";Lycée polyvalent;LPO;Public;94028;Créteil;Créteil;LYCEE POLYVALENT;SAINT-EXUPÉRY;94
48.876455950997794, 2.322290806034075;"{""coordinates"": [2.322290806034075, 48.876455950997794], ""type"": ""Point""}";Lycée d'enseignement général et technologique;LGT;Public;75108;Paris 8e Arrondissement;Paris;LYCEE GENERAL ET TECHNOLOGIQUE;RACINE;75
48.626565245173886, 2.32590650148806;"{""coordinates"": [2.32590650148806, 48.626565245173886], ""type"": ""Point""}";Lycée polyvalent;LPO;Public;91570;Saint-Michel-sur-Orge;Versailles;LYCEE POLYVALENT;LÉONARD-DE-VINCI;91
48.902978243573756, 2.2763664213111023;"{""coordinates"": [2.276366421311102, 48.902978243573756], ""type"": ""Point""}";Lycée polyvalent;LPO;Privé;92026;Courbevoie;Versailles;LYC POLYVAL PRIVE des METIERS;MONTALEMBERT;92
48.96508787043065, 1.7164776925359597;"{""coordinates"": [1.71647769253596, 48.96508787043065], ""type"": ""Point""}";Lycée polyvalent;LPO;Public;78362;Mantes-la-Ville;Versailles;LPO LYCEE DES METIERS;CAMILLE-CLAUDEL;78
48.66103407315866, 2.262435266394421;"{""coordinates"": [2.262435266394421, 48.66103407315866], ""type"": ""Point""}";Lycée d'enseignement général et technologique;LGT;Privé;91665;La Ville-du-Bois;Versailles;LYCEE GEN.ET TECHNOL.PRIVE;SACRÉ-COEUR;91
48.847190777620774, 2.2368079136279593;"{""coordinates"": [2.236807913627959, 48.847190777620774], ""type"": ""Point""}";Lycée d'enseignement général et technologique;LGT;Privé;92012;Boulogne-Billancourt;Versailles;LYCEE GEN.ET TECHNOL.PRIVE;NOTRE-DAME-DE-BOULOGNE;92
48.8363980569974, 2.3032351871078864;"{""coordinates"": [2.303235187107886, 48.8363980569974], ""type"": ""Point""}";Lycée professionnel;LP;Public;75115;Paris 15e Arrondissement;Paris;LP LYCEE DES METIERS;CLAUDE-ANTHIME-CORBON;75
48.84635840895067, 2.3473832542620925;"{""coordinates"": [2.347383254262092, 48.84635840895067], ""type"": ""Point""}";Lycée d'enseignement général;LG;Public;75105;Paris 5e Arrondissement;Paris;LYCEE GENERAL;HENRI IV;75
48.85845909605065, 2.1831586442521744;"{""coordinates"": [2.183158644252174, 48.85845909605065], ""type"": ""Point""}";Lycée d'enseignement général et technologique;LGT;Privé;92063;Rueil-Malmaison;Versailles;LYCEE GEN. ET TECHNOL. PRIVE;LA-SALLE-PASSY-BUZENVAL;92
48.866234629680235, 2.359806400691468;"{""coordinates"": [2.359806400691468, 48.866234629680235], ""type"": ""Point""}";Lycée professionnel;LP;Public;75103;Paris 3e Arrondissement;Paris;LYCEE PROFESSIONNEL;ABBÉ-GRÉGOIRE (L');75
48.85957516654183, 2.285479966823128;"{""coordinates"": [2.285479966823128, 48.85957516654183], ""type"": ""Point""}";Lycée d'enseignement général;LG;Privé;75116;Paris 16e Arrondissement;Paris;LYCEE GENERAL PRIVE;SAINT-LOUIS-DE-GONZAGUE;75
48.80255450108306, 2.1550372617588005;"{""coordinates"": [2.155037261758801, 48.80255450108306], ""type"": ""Point""}";Etablissement composé uniquement de STS et/ou de CPGE;STS CPGE;Privé;78646;Versailles;Versailles;ECOLE SUP.PRIVEE;SAINTE-GENEVIÈVE;78
48.847671801049486, 2.4083242063515717;"{""coordinates"": [2.408324206351572, 48.847671801049486], ""type"": ""Point""}";Lycée d'enseignement général et technologique;LGT;Public;75120;Paris 20e Arrondissement;Paris;LYCEE GENERAL ET TECHNOLOGIQUE;MAURICE-RAVEL;75
48.90424379309935, 2.473762803060837;"{""coordinates"": [2.473762803060837, 48.90424379309935], ""type"": ""Point""}";Lycée professionnel;LP;Public;93010;Bondy;Créteil;LYCEE PROFESSIONNEL;MADELEINE-VIONNET;93
48.86258160185436, 2.478823536939427;"{""coordinates"": [2.478823536939427, 48.86258160185436], ""type"": ""Point""}";Lycée d'enseignement général;LG;Privé;93048;Montreuil;Créteil;LYCEE GENERAL PRIVE;HENRI-MATISSE;93
48.901248748298414, 2.519241563748809;"{""coordinates"": [2.519241563748809, 48.901248748298414], ""type"": ""Point""}";Lycée polyvalent;LPO;Public;93062;Le Raincy;Créteil;LPO LYCEE DES METIERS;RENÉ-CASSIN;93
48.88771508703475, 2.4708355412981122;"{""coordinates"": [2.470835541298112, 48.88771508703475], ""type"": ""Point""}";Lycée d'enseignement général et technologique;LGT;Public;93053;Noisy-le-Sec;Créteil;LYCEE GENERAL ET TECHNOLOGIQUE;OLYMPE-DE-GOUGES;93
48.51821683090356, 2.648649683879455;"{""coordinates"": [2.648649683879455, 48.51821683090356], ""type"": ""Point""}";Lycée polyvalent;LPO;Public;77152;Dammarie-les-Lys;Créteil;LPO LYCEE DES METIERS;FRÉDÉRIC-JOLIOT-CURIE;77
48.63688895754693, 2.423566985678933;"{""coordinates"": [2.423566985678933, 48.63688895754693], ""type"": ""Point""}";Lycée d'enseignement général et technologique;LGT;Public;91228;Evry-Courcouronnes;Versailles;LYCEE GENERAL ET TECHNOLOGIQUE;PARC-DES-LOGES;91
48.803183751528096, 2.4731595077258417;"{""coordinates"": [2.473159507725842, 48.803183751528096], ""type"": ""Point""}";Lycée d'enseignement général et technologique;LGT;Public;94068;Saint-Maur-des-Fossés;Créteil;LYCEE GENERAL ET TECHNOLOGIQUE;ARSONVAL (D');94
49.03318270943263, 2.021537452121829;"{""coordinates"": [2.021537452121829, 49.03318270943263], ""type"": ""Point""}";Lycée polyvalent;LPO;Public;95637;Vauréal;Versailles;LPO LYCEE DES METIERS;CAMILLE-CLAUDEL;95
48.83402809804991, 2.3266120352490303;"{""coordinates"": [2.32661203524903, 48.83402809804991], ""type"": ""Point""}";Lycée polyvalent;LPO;Privé;75114;Paris 14e Arrondissement;Paris;LYCEE POLYVALENT PRIVE;SACRE-COEUR-CATHERINE-LABOURÉ;75
48.53083498245983, 2.671838338893155;"{""coordinates"": [2.671838338893155, 48.53083498245983], ""type"": ""Point""}";Lycée polyvalent;LPO;Public;77487;Vaux-le-Pénil;Créteil;LYCEE POLYVALENT;SIMONE-SIGNORET;77
48.83029393374502, 2.1319288795643803;"{""coordinates"": [2.13192887956438, 48.83029393374502], ""type"": ""Point""}";Lycée d'enseignement général et technologique;LGT;Privé;78158;Le Chesnay-Rocquencourt;Versailles;LYCEE GEN.ET TECHNOL.PRIVE;BLANCHE-DE-CASTILLE;78
48.94709268604921, 2.062125867878675;"{""coordinates"": [2.062125867878675, 48.94709268604921], ""type"": ""Point""}";Lycée d'enseignement général et technologique;LGT;Public;78498;Poissy;Versailles;LYCEE GENERAL ET TECHNOLOGIQUE;CHARLES-DE-GAULLE;78
48.92160786351998, 2.2154090706855727;"{""coordinates"": [2.215409070685573, 48.92160786351998], ""type"": ""Point""}";Lycée polyvalent;LPO;Public;95063;Bezons;Versailles;LYCEE POLYVALENT;BEZONS (DE);95
48.881481005915546, 2.3745951788407447;"{""coordinates"": [2.374595178840745, 48.881481005915546], ""type"": ""Point""}";Lycée polyvalent;LPO;Privé;75119;Paris 19e Arrondissement;Paris;LYCEE POLYVALENT PRIVE;INITIATIVE (L');75
48.616412357828686, 2.389132215957369;"{""coordinates"": [2.389132215957369, 48.616412357828686], ""type"": ""Point""}";Lycée polyvalent;LPO;Public;91086;Bondoufle;Versailles;LYCEE POLYVALENT;FRANCOIS-TRUFFAUT;91
48.748685087468985, 2.312998904588998;"{""coordinates"": [2.312998904588998, 48.748685087468985], ""type"": ""Point""}";Lycée d'enseignement général et technologique;LGT;Public;92002;Antony;Versailles;LYCEE GENERAL ET TECHNOLOGIQUE;DESCARTES;92
48.89708106796132, 2.278849034800075;"{""coordinates"": [2.278849034800075, 48.89708106796132], ""type"": ""Point""}";Lycée polyvalent;LPO;Public;92044;Levallois-Perret;Versailles;LPO LYCEE DES METIERS;LÉONARD-DE-VINCI;92
48.84720293904819, 2.2634281009138544;"{""coordinates"": [2.263428100913854, 48.84720293904819], ""type"": ""Point""}";Lycée d'enseignement général;LG;Privé;75116;Paris 16e Arrondissement;Paris;LYCEE GENERAL PRIVE;NOTRE-DAME-DES-OISEAUX;75
48.84416157437086, 2.2983390818938125;"{""coordinates"": [2.298339081893813, 48.84416157437086], ""type"": ""Point""}";Lycée professionnel;LP;Public;75115;Paris 15e Arrondissement;Paris;LP LYCEE DES METIERS;BRASSAÏ;75
48.40606924870395, 2.7032802626640233;"{""coordinates"": [2.703280262664023, 48.40606924870395], ""type"": ""Point""}";Lycée polyvalent;LPO;Privé;77186;Fontainebleau;Créteil;LYCEE POLYVALENT PRIVE;BLANCHE-DE-CASTILLE;77
48.40949338498827, 2.695130151970851;"{""coordinates"": [2.695130151970851, 48.40949338498827], ""type"": ""Point""}";Lycée d'enseignement général;LG;Public;77186;Fontainebleau;Créteil;LYCEE GENERAL;INTERNATIONAL FRANÇOIS-1ER;77
48.76484420905822, 2.0392774137205407;"{""coordinates"": [2.039277413720541, 48.76484420905822], ""type"": ""Point""}";Lycée d'enseignement général et technologique;LGT;Public;78423;Montigny-le-Bretonneux;Versailles;LYCEE GENERAL ET TECHNOLOGIQUE;DESCARTES;78
48.971145732112404, 2.073047323093123;"{""coordinates"": [2.073047323093123, 48.971145732112404], ""type"": ""Point""}";Lycée polyvalent;LPO;Public;78005;Achères;Versailles;LYCEE POLYVALENT;LOUISE-WEISS;78
48.79812660166874, 2.308221346268741;"{""coordinates"": [2.308221346268741, 48.79812660166874], ""type"": ""Point""}";Lycée professionnel;LP;Public;92007;Bagneux;Versailles;LYCEE PROFESSIONNEL;LÉONARD-DE-VINCI;92
48.7098479058778, 2.326003774184044;"{""coordinates"": [2.326003774184044, 48.7098479058778], ""type"": ""Point""}";Lycée polyvalent;LPO;Public;91432;Morangis;Versailles;LYCEE POLYVALENT;MARGUERITE-YOURCENAR;91
48.8079754276985, 2.1865692342534375;"{""coordinates"": [2.186569234253438, 48.8079754276985], ""type"": ""Point""}";Lycée d'enseignement général et technologique;LGT;Privé;92022;Chaville;Versailles;LYCEE GEN.ET TECHNOL.PRIVE;SAINT-THOMAS-DE-VILLENEUVE;92
48.94483909531754, 2.4494837766911135;"{""coordinates"": [2.449483776691114, 48.94483909531754], ""type"": ""Point""}";Lycée professionnel;LP;Public;93007;Le Blanc-Mesnil;Créteil;LP LYCEE DES METIERS;ARISTIDE-BRIAND;93
48.80992499821077, 2.4689777244719466;"{""coordinates"": [2.468977724471947, 48.80992499821077], ""type"": ""Point""}";Lycée d'enseignement général et technologique;LGT;Public;94068;Saint-Maur-des-Fossés;Créteil;LYCEE GENERAL ET TECHNOLOGIQUE;MARCELIN-BERTHELOT;94
48.815814803020366, 2.535463015263883;"{""coordinates"": [2.535463015263883, 48.815814803020366], ""type"": ""Point""}";Lycée polyvalent;LPO;Public;94017;Champigny-sur-Marne;Créteil;LPO LYCEE DES METIERS;MARX-DORMOY;94
48.79059033840951, 2.4979827445326936;"{""coordinates"": [2.497982744532694, 48.79059033840951], ""type"": ""Point""}";Lycée polyvalent;LPO;Public;94068;Saint-Maur-des-Fossés;Créteil;LPO LYCEE DES METIERS;FRANCOIS-MANSART;94
48.874806666497186, 2.3269315047999606;"{""coordinates"": [2.326931504799961, 48.874806666497186], ""type"": ""Point""}";Lycée d'enseignement général;LG;Public;75109;Paris 9e Arrondissement;Paris;LYCEE GENERAL;CONDORCET;75
48.79729422983946, 2.449925988819325;"{""coordinates"": [2.449925988819325, 48.79729422983946], ""type"": ""Point""}";Lycée d'enseignement général;LG;Privé;94028;Créteil;Créteil;LYCEE GENERAL PRIVE;OZAR-HATORAH (GARCONS);94
48.80923239534153, 2.377952122322429;"{""coordinates"": [2.377952122322429, 48.80923239534153], ""type"": ""Point""}";Lycée polyvalent;LPO;Public;94041;Ivry-sur-Seine;Créteil;LPO LYCEE DES METIERS;FERNAND-LÉGER;94
48.8723937737659, 2.3879191481215614;"{""coordinates"": [2.387919148121561, 48.8723937737659], ""type"": ""Point""}";Lycée d'enseignement général;LG;Privé;75120;Paris 20e Arrondissement;Paris;LYCEE GENERAL PRIVE;SAINTE-LOUISE;75
48.935077440970545, 2.4937398229650154;"{""coordinates"": [2.493739822965015, 48.935077440970545], ""type"": ""Point""}";Lycée d'enseignement général;LG;Privé;93005;Aulnay-sous-Bois;Créteil;LYCEE GENERAL PRIVE;ESPERANCE (L');93
48.56065031293096, 3.2929816919688633;"{""coordinates"": [3.292981691968863, 48.56065031293096], ""type"": ""Point""}";Lycée polyvalent;LPO;Public;77379;Provins;Créteil;LYCEE POLYVALENT;THIBAUT-DE-CHAMPAGNE;77
48.94129721876071, 2.3644865044857504;"{""coordinates"": [2.36448650448575, 48.94129721876071], ""type"": ""Point""}";Lycée d'enseignement général et technologique;LGT;Public;93066;Saint-Denis;Créteil;LYCEE GENERAL ET TECHNOLOGIQUE;PAUL-ELUARD;93
48.84760436437566, 2.342190764989024;"{""coordinates"": [2.342190764989024, 48.84760436437566], ""type"": ""Point""}";Lycée polyvalent;LPO;Public;75105;Paris 5e Arrondissement;Paris;LPO LYCEE DES METIERS;JACQUES-MONOD;75
48.8550032089924, 2.272112641784838;"{""coordinates"": [2.272112641784838, 48.8550032089924], ""type"": ""Point""}";Lycée d'enseignement général;LG;Public;75116;Paris 16e Arrondissement;Paris;LYCEE GENERAL;MOLIERE;75
