Identifiant action de formation;Enseignements de spécialité de classe de 1ère générale;Identifiant et fiche onisep lieu de cours;Libellé lieu de cours;Adresse lieu de cours;Code postal lieu de cours;Commune lieu de cours;Département lieu de cours;Région lieu de cours;Académie lieu de cours
AF.121284;Histoire-géographie, géopolitique et sciences politiques / Humanités, littérature et philosophie / Mathématiques / Physique-chimie / Sciences économiques et sociales;https://www.onisep.fr/http/redirection/etablissement/slug/ENS.8247;Lycée polyvalent Pierre Mendès France;Avenue de l'Aunette;91130;Ris-Orangis;Essonne;Ile-de-France;Versailles
AF.12142;Sciences économiques et sociales / Arts : musique / Humanités, littérature et philosophie / Sciences de l'ingénieur / Histoire-géographie, géopolitique et sciences politiques / Mathématiques / Littérature et langues et cultures de l'Antiquité / Physique-chimie / Sciences de la vie et de la Terre / Langues, littératures et cultures étrangères et régionales;https://www.onisep.fr/http/redirection/etablissement/slug/ENS.14946;Lycée Guillaume Apollinaire;42 rue du Pavé de Grignon;94320;Thiais;Val-de-Marne;Ile-de-France;Créteil
AF.12192;Sciences économiques et sociales / Humanités, littérature et philosophie / Histoire-géographie, géopolitique et sciences politiques / Mathématiques / Numérique et sciences informatiques / Physique-chimie / Sciences de la vie et de la Terre / Langues, littératures et cultures étrangères et régionales;https://www.onisep.fr/http/redirection/etablissement/slug/ENS.9843;Lycée Saint-Martin de France;1 avenue de Verdun;95301;Pontoise;Val-d'Oise;Ile-de-France;Versailles
AF.12228;Sciences économiques et sociales / Arts : musique / Humanités, littérature et philosophie / Histoire-géographie, géopolitique et sciences politiques / LLCER anglais / Mathématiques / Littérature et langues et cultures de l'Antiquité / Physique-chimie / Sciences de la vie et de la Terre / LLCER espagnol;https://www.onisep.fr/http/redirection/etablissement/slug/ENS.10046;Lycée Jacques Amyot;6 bis rue Edmond Michelet;77011;Melun;Seine-et-Marne;Ile-de-France;Créteil
AF.12267;Humanités, littérature et philosophie / Sciences de l'ingénieur / Histoire-géographie, géopolitique et sciences politiques / Mathématiques / Numérique et sciences informatiques / Physique-chimie / Sciences de la vie et de la Terre / LLCER anglais / Sciences économiques et sociales;https://www.onisep.fr/http/redirection/etablissement/slug/ENS.9331;Lycée Louis Le Grand;123 rue Saint Jacques;75005;Paris;Paris;Ile-de-France;Paris
AF.12333;Sciences économiques et sociales / Arts : arts plastiques / Humanités, littérature et philosophie / Histoire-géographie, géopolitique et sciences politiques / Mathématiques / Numérique et sciences informatiques / Physique-chimie / Sciences de la vie et de la Terre / LLCER anglais - monde contemporain;https://www.onisep.fr/http/redirection/etablissement/slug/ENS.10706;Lycée privé Paul Claudel-d'Hulst;21 rue de Varenne;75007;Paris;Paris;Ile-de-France;Paris
AF.17385;Sciences économiques et sociales / Arts : histoire des arts / Arts : musique / Humanités, littérature et philosophie / Histoire-géographie, géopolitique et sciences politiques / Mathématiques / Numérique et sciences informatiques / Physique-chimie / Sciences de la vie et de la Terre / Langues, littératures et cultures étrangères et régionales;https://www.onisep.fr/http/redirection/etablissement/slug/ENS.9188;Lycée Blaise Pascal;18 rue Alexander Fleming;91401;Orsay;Essonne;Ile-de-France;Versailles
AF.17609;Sciences économiques et sociales / Humanités, littérature et philosophie / Sciences de l'ingénieur / Histoire-géographie, géopolitique et sciences politiques / Mathématiques / Physique-chimie / Sciences de la vie et de la Terre / Langues, littératures et cultures étrangères et régionales;https://www.onisep.fr/http/redirection/etablissement/slug/ENS.8890;Lycée Eugène Ionesco;152 avenue de Verdun;92130;Issy-les-Moulineaux;Hauts-de-Seine;Ile-de-France;Versailles
AF.17710;Sciences économiques et sociales / Arts : arts plastiques / Humanités, littérature et philosophie / Sciences de l'ingénieur / Histoire-géographie, géopolitique et sciences politiques / Mathématiques / Numérique et sciences informatiques / Physique-chimie / Sciences de la vie et de la Terre / Langues, littératures et cultures étrangères et régionales / Éducation physique, pratiques et culture sportives;https://www.onisep.fr/http/redirection/etablissement/slug/ENS.14374;Lycée polyvalent Frédéric Joliot-Curie;168 rue Frédéric Joliot-Curie;77196;Dammarie-les-Lys;Seine-et-Marne;Ile-de-France;Créteil
AF.17722;Sciences économiques et sociales / LLCER espagnol / LLCER anglais / Mathématiques / Physique-chimie / Sciences de la vie et de la Terre;https://www.onisep.fr/http/redirection/etablissement/slug/ENS.4670;Lycée La Salle - Sainte-Marie;3 bis chemin de la messe;77140;Saint-Pierre-lès-Nemours;Seine-et-Marne;Ile-de-France;Créteil
AF.17800;Sciences économiques et sociales / Humanités, littérature et philosophie / Sciences de l'ingénieur / Histoire-géographie, géopolitique et sciences politiques / Mathématiques / Physique-chimie / Sciences de la vie et de la Terre / Langues, littératures et cultures étrangères et régionales;https://www.onisep.fr/http/redirection/etablissement/slug/ENS.11586;Lycée Georges Brassens;8 rue Georges Brassens;91080;Evry-Courcouronnes;Essonne;Ile-de-France;Versailles
AF.17848;Sciences économiques et sociales / Humanités, littérature et philosophie / Histoire-géographie, géopolitique et sciences politiques / Mathématiques / Numérique et sciences informatiques / Physique-chimie / Sciences de la vie et de la Terre / LLCER anglais;https://www.onisep.fr/http/redirection/etablissement/slug/ENS.3111;Lycée Jean Pierre Timbaud;4 rue Henri Douard;91220;Brétigny-sur-Orge;Essonne;Ile-de-France;Versailles
AF.17883;Sciences économiques et sociales / Humanités, littérature et philosophie / Histoire-géographie, géopolitique et sciences politiques / LLCER anglais / Mathématiques / Physique-chimie / Sciences de la vie et de la Terre;https://www.onisep.fr/http/redirection/etablissement/slug/ENS.16525;Lycée polyvalent Charlotte Delbo;2 avenue Robert Badinter;77230;Dammartin-en-Goële;Seine-et-Marne;Ile-de-France;Créteil
AF.35183;Sciences économiques et sociales / Humanités, littérature et philosophie / Sciences de l'ingénieur / Histoire-géographie, géopolitique et sciences politiques / LLCER anglais / Mathématiques / Numérique et sciences informatiques / Physique-chimie / Sciences de la vie et de la Terre / LLCER anglais - monde contemporain;https://www.onisep.fr/http/redirection/etablissement/slug/ENS.13811;Lycée polyvalent Christophe Colomb;154 rue de Boissy;94370;Sucy-en-Brie;Val-de-Marne;Ile-de-France;Créteil
AF.35209;Sciences économiques et sociales / Humanités, littérature et philosophie / Histoire-géographie, géopolitique et sciences politiques / Mathématiques / Physique-chimie / Sciences de la vie et de la Terre / Langues, littératures et cultures étrangères et régionales;https://www.onisep.fr/http/redirection/etablissement/slug/ENS.6129;Lycée privé Sainte-Céline;29 rue Pierre Marx;77260;La Ferté-sous-Jouarre;Seine-et-Marne;Ile-de-France;Créteil
AF.38718;Sciences économiques et sociales / Histoire-géographie, géopolitique et sciences politiques / LLCER anglais / Mathématiques / Physique-chimie / Sciences de la vie et de la Terre;https://www.onisep.fr/http/redirection/etablissement/slug/ENS.4961;Lycée polyvalent Claude Nicolas Ledoux;1 boulevard de Paris;93320;Les Pavillons-sous-Bois;Seine-Saint-Denis;Ile-de-France;Créteil
AF.40530;Sciences économiques et sociales / Humanités, littérature et philosophie / Histoire-géographie, géopolitique et sciences politiques / Mathématiques / Numérique et sciences informatiques / Physique-chimie / Sciences de la vie et de la Terre / Langues, littératures et cultures étrangères et régionales;https://www.onisep.fr/http/redirection/etablissement/slug/ENS.11037;Lycée Montalembert;238 boulevard Saint-Denis;92400;Courbevoie;Hauts-de-Seine;Ile-de-France;Versailles
AF.40531;Sciences économiques et sociales / Humanités, littérature et philosophie / Histoire-géographie, géopolitique et sciences politiques / Mathématiques / Littérature et langues et cultures de l'Antiquité / Numérique et sciences informatiques / Physique-chimie / Sciences de la vie et de la Terre / Langues, littératures et cultures étrangères et régionales;https://www.onisep.fr/http/redirection/etablissement/slug/ENS.8252;Lycée Madeleine Daniélou;61-63 rue du Général de Miribel;92508;Rueil-Malmaison;Hauts-de-Seine;Ile-de-France;Versailles
AF.40802;Sciences économiques et sociales / Humanités, littérature et philosophie / Histoire-géographie, géopolitique et sciences politiques / Mathématiques / Littérature et langues et cultures de l'Antiquité / Physique-chimie / Sciences de la vie et de la Terre / Langues, littératures et cultures étrangères et régionales;https://www.onisep.fr/http/redirection/etablissement/slug/ENS.3713;Lycée polyvalent Paul Robert;2 rue du Château;93260;Les Lilas;Seine-Saint-Denis;Ile-de-France;Créteil
AF.40832;Sciences de l'ingénieur / Histoire-géographie, géopolitique et sciences politiques / Mathématiques / Numérique et sciences informatiques / Physique-chimie / Sciences de la vie et de la Terre / Langues, littératures et cultures étrangères et régionales / Sciences économiques et sociales;https://www.onisep.fr/http/redirection/etablissement/slug/ENS.12213;Lycée polyvalent Louis Armand;173 boulevard de Strasbourg;94130;Nogent-sur-Marne;Val-de-Marne;Ile-de-France;Créteil
AF.40942;Sciences économiques et sociales / Humanités, littérature et philosophie / Histoire-géographie, géopolitique et sciences politiques / Mathématiques / Physique-chimie / Sciences de la vie et de la Terre / LLCER anglais;https://www.onisep.fr/http/redirection/etablissement/slug/ENS.4757;Lycée privé Notre-Dame de France;63 rue de la Santé;75013;Paris;Paris;Ile-de-France;Paris
AF.40965;Sciences économiques et sociales / Humanités, littérature et philosophie / Histoire-géographie, géopolitique et sciences politiques / Mathématiques / Numérique et sciences informatiques / Physique-chimie / Sciences de la vie et de la Terre / LLCER anglais;https://www.onisep.fr/http/redirection/etablissement/slug/ENS.8533;Lycée privé Rocroy Saint-Vincent-de-Paul;106 rue du faubourg Poissonnière;75010;Paris;Paris;Ile-de-France;Paris
AF.42166;Sciences économiques et sociales / Humanités, littérature et philosophie / Histoire-géographie, géopolitique et sciences politiques / Mathématiques / Physique-chimie / Sciences de la vie et de la Terre / LLCER anglais;https://www.onisep.fr/http/redirection/etablissement/slug/ENS.19361;Lycée privé Beth Hanna;49-51 rue Petit;75019;Paris;Paris;Ile-de-France;Paris
AF.46313;Sciences économiques et sociales / Humanités, littérature et philosophie / Histoire-géographie, géopolitique et sciences politiques / Mathématiques / Littérature et langues et cultures de l'Antiquité / Physique-chimie / Sciences de la vie et de la Terre / Langues, littératures et cultures étrangères et régionales;https://www.onisep.fr/http/redirection/etablissement/slug/ENS.11137;Lycée militaire de Saint-Cyr-l'École;2 avenue Jean-Jaurès;78210;Saint-Cyr-l'Ecole;Yvelines;Ile-de-France;Versailles
AF.46548;Sciences économiques et sociales / Humanités, littérature et philosophie / Histoire-géographie, géopolitique et sciences politiques / Mathématiques / Physique-chimie / Sciences de la vie et de la Terre / LLCER anglais - monde contemporain;https://www.onisep.fr/http/redirection/etablissement/slug/ENS.16178;Lycée polyvalent Robert Schuman;2 rue de l'Embarcadère;94220;Charenton-le-Pont;Val-de-Marne;Ile-de-France;Créteil
AF.46578;Sciences de l'ingénieur / Mathématiques / Numérique et sciences informatiques / Physique-chimie / Sciences de la vie et de la Terre;https://www.onisep.fr/http/redirection/etablissement/slug/ENS.7519;Lycée polyvalent Jean Perrin;2 rue des Egalisses;95310;Saint-Ouen-l'Aumône;Val-d'Oise;Ile-de-France;Versailles
AF.46600;Sciences économiques et sociales / Humanités, littérature et philosophie / Histoire-géographie, géopolitique et sciences politiques / Mathématiques / Littérature et langues et cultures de l'Antiquité / Physique-chimie / Sciences de la vie et de la Terre / Langues, littératures et cultures étrangères et régionales;https://www.onisep.fr/http/redirection/etablissement/slug/ENS.13813;Lycée général privé Henri Matisse;88 bis rue Jules Guesde;93100;Montreuil;Seine-Saint-Denis;Ile-de-France;Créteil
AF.46665;Sciences économiques et sociales / Humanités, littérature et philosophie / Histoire-géographie, géopolitique et sciences politiques / Mathématiques / Numérique et sciences informatiques / Physique-chimie / Sciences de la vie et de la Terre / Langues, littératures et cultures étrangères et régionales;https://www.onisep.fr/http/redirection/etablissement/slug/ENS.5485;Lycée Teilhard de Chardin;2 place d'Armes;94106;Saint-Maur-des-Fossés;Val-de-Marne;Ile-de-France;Créteil
AF.46692;Sciences économiques et sociales / Humanités, littérature et philosophie / Histoire-géographie, géopolitique et sciences politiques / Mathématiques / Numérique et sciences informatiques / Physique-chimie / Sciences de la vie et de la Terre / LLCER anglais - monde contemporain;https://www.onisep.fr/http/redirection/etablissement/slug/ENS.18506;Lycée Camille Sée;11 rue Léon Lhermitte;75015;Paris;Paris;Ile-de-France;Paris
AF.46717;Sciences économiques et sociales / Humanités, littérature et philosophie / Sciences de l'ingénieur / Histoire-géographie, géopolitique et sciences politiques / Mathématiques / Numérique et sciences informatiques / Physique-chimie / Sciences de la vie et de la Terre / Langues, littératures et cultures étrangères et régionales;https://www.onisep.fr/http/redirection/etablissement/slug/ENS.9287;Lycée Agora;120 rue de Verdun;92800;Puteaux;Hauts-de-Seine;Ile-de-France;Versailles
AF.52040;Sciences économiques et sociales / Humanités, littérature et philosophie / Histoire-géographie, géopolitique et sciences politiques / Mathématiques / Numérique et sciences informatiques / Physique-chimie / Sciences de la vie et de la Terre / LLCER anglais - monde contemporain / LLCER anglais;https://www.onisep.fr/http/redirection/etablissement/slug/ENS.1847;Lycée privé Bossuet Notre-Dame;17 rue Yves Toudic;75010;Paris;Paris;Ile-de-France;Paris
AF.52157;Sciences économiques et sociales / Humanités, littérature et philosophie / Histoire-géographie, géopolitique et sciences politiques / Mathématiques / Physique-chimie / Sciences de la vie et de la Terre / Langues, littératures et cultures étrangères et régionales;https://www.onisep.fr/http/redirection/etablissement/slug/ENS.1602;Lycée Edouard Branly;8 rue Baüyn de Perreuse;94130;Nogent-sur-Marne;Val-de-Marne;Ile-de-France;Créteil
AF.52199;Sciences économiques et sociales / Arts : arts plastiques / Humanités, littérature et philosophie / Arts : cinéma - audiovisuel / Histoire-géographie, géopolitique et sciences politiques / Mathématiques / Numérique et sciences informatiques / Physique-chimie / Sciences de la vie et de la Terre / Éducation physique, pratiques et culture sportives / LLCER anglais;https://www.onisep.fr/http/redirection/etablissement/slug/ENS.7781;Lycée Paul Valéry;38 boulevard Soult;75012;Paris;Paris;Ile-de-France;Paris
AF.52257;Humanités, littérature et philosophie / Sciences de l'ingénieur / Histoire-géographie, géopolitique et sciences politiques / Mathématiques / Numérique et sciences informatiques / Physique-chimie / Sciences de la vie et de la Terre / Langues, littératures et cultures étrangères et régionales;https://www.onisep.fr/http/redirection/etablissement/slug/ENS.12440;Lycée Jean Jaurès;25 rue Charles Lecocq;95100;Argenteuil;Val-d'Oise;Ile-de-France;Versailles
AF.52325;Sciences économiques et sociales / Humanités, littérature et philosophie / Histoire-géographie, géopolitique et sciences politiques / LLCER anglais / Mathématiques / Physique-chimie / Sciences de la vie et de la Terre;https://www.onisep.fr/http/redirection/etablissement/slug/ENS.19507;Lycée privé Sainte-Louise;29 rue des Envierges;75020;Paris;Paris;Ile-de-France;Paris
AF.29503;Sciences économiques et sociales / Humanités, littérature et philosophie / Histoire-géographie, géopolitique et sciences politiques / Mathématiques / Littérature et langues et cultures de l'Antiquité / Numérique et sciences informatiques / Physique-chimie / Sciences de la vie et de la Terre / LLCER espagnol;https://www.onisep.fr/http/redirection/etablissement/slug/ENS.1862;Lycée polyvalent Maurice Utrillo;152 rue Jean Durand;93240;Stains;Seine-Saint-Denis;Ile-de-France;Créteil
AF.29533;Sciences économiques et sociales / Arts : arts plastiques / Humanités, littérature et philosophie / Histoire-géographie, géopolitique et sciences politiques / Mathématiques / Littérature et langues et cultures de l'Antiquité / Numérique et sciences informatiques / Physique-chimie / Sciences de la vie et de la Terre / Langues, littératures et cultures étrangères et régionales;https://www.onisep.fr/http/redirection/etablissement/slug/ENS.7626;Lycée Fragonard;3 rue Fragonard;95290;L'Isle-Adam;Val-d'Oise;Ile-de-France;Versailles
AF.29554;Sciences économiques et sociales / Humanités, littérature et philosophie / Sciences de l'ingénieur / Histoire-géographie, géopolitique et sciences politiques / Mathématiques / Numérique et sciences informatiques / Physique-chimie / Sciences de la vie et de la Terre / Langues, littératures et cultures étrangères et régionales;https://www.onisep.fr/http/redirection/etablissement/slug/ENS.15329;Lycée Nikola Tesla;15-21 Chemin du Champ de Courses;91410;Dourdan;Essonne;Ile-de-France;Versailles
AF.29574;Sciences économiques et sociales / Humanités, littérature et philosophie / Histoire-géographie, géopolitique et sciences politiques / Mathématiques / Littérature et langues et cultures de l'Antiquité / Numérique et sciences informatiques / Physique-chimie / Sciences de la vie et de la Terre / Langues, littératures et cultures étrangères et régionales;https://www.onisep.fr/http/redirection/etablissement/slug/ENS.4603;Lycée Saint-Jean et Hulst;26 rue du Maréchal de Lattre de Tassigny;78000;Versailles;Yvelines;Ile-de-France;Versailles
AF.29646;Sciences économiques et sociales / Arts : musique / Humanités, littérature et philosophie / Histoire-géographie, géopolitique et sciences politiques / LLCER anglais / Mathématiques / Arts : danse / Physique-chimie / Sciences de la vie et de la Terre / LLCER anglais - monde contemporain;https://www.onisep.fr/http/redirection/etablissement/slug/ENS.12731;Lycée Racine;20 rue du Rocher;75008;Paris;Paris;Ile-de-France;Paris
AF.17965;Sciences économiques et sociales / Arts : théâtre / Humanités, littérature et philosophie / Histoire-géographie, géopolitique et sciences politiques / Mathématiques / Littérature et langues et cultures de l'Antiquité / Physique-chimie / Sciences de la vie et de la Terre / LLCER anglais;https://www.onisep.fr/http/redirection/etablissement/slug/ENS.9546;Lycée privé Saint-Michel de Picpus;53 rue de la Gare de Reuilly;75012;Paris;Paris;Ile-de-France;Paris
AF.17980;Sciences économiques et sociales / Arts : arts plastiques / Humanités, littérature et philosophie / Histoire-géographie, géopolitique et sciences politiques / LLCER anglais / Mathématiques / Physique-chimie / Sciences de la vie et de la Terre;https://www.onisep.fr/http/redirection/etablissement/slug/ENS.16766;Lycée privé Charles Péguy;80 avenue Parmentier;75011;Paris;Paris;Ile-de-France;Paris
AF.23256;Sciences économiques et sociales / Arts : histoire des arts / Humanités, littérature et philosophie / Sciences de l'ingénieur / Histoire-géographie, géopolitique et sciences politiques / Mathématiques / Numérique et sciences informatiques / Physique-chimie / Sciences de la vie et de la Terre / Langues, littératures et cultures étrangères et régionales;https://www.onisep.fr/http/redirection/etablissement/slug/ENS.9122;Lycée polyvalent Etienne Bezout;31 avenue Etienne Dailly;77140;Nemours;Seine-et-Marne;Ile-de-France;Créteil
AF.23444;Sciences économiques et sociales / Humanités, littérature et philosophie / Histoire-géographie, géopolitique et sciences politiques / Mathématiques / Physique-chimie / Sciences de la vie et de la Terre / Langues, littératures et cultures étrangères et régionales;https://www.onisep.fr/http/redirection/etablissement/slug/ENS.5725;Lycée Notre-Dame de Sainte-Croix;30 avenue du Roule;92200;Neuilly-sur-Seine;Hauts-de-Seine;Ile-de-France;Versailles
AF.23456;Sciences économiques et sociales / Histoire-géographie, géopolitique et sciences politiques / Mathématiques / Physique-chimie / Sciences de la vie et de la Terre / Langues, littératures et cultures étrangères et régionales;https://www.onisep.fr/http/redirection/etablissement/slug/ENS.12560;Lycée Montesquieu;23 rue du Capitaine Facq;92350;Le Plessis-Robinson;Hauts-de-Seine;Ile-de-France;Versailles
AF.46532;Sciences économiques et sociales / Histoire-géographie, géopolitique et sciences politiques / Mathématiques / Physique-chimie / Sciences de la vie et de la Terre / Langues, littératures et cultures étrangères et régionales;https://www.onisep.fr/http/redirection/etablissement/slug/ENS.9726;Lycée Saint-Michel de Picpus;10 ter rue Jeanne d'Arc;94160;Saint-Mandé;Val-de-Marne;Ile-de-France;Créteil
AF.46567;Sciences économiques et sociales / Humanités, littérature et philosophie / Sciences de l'ingénieur / Histoire-géographie, géopolitique et sciences politiques / Mathématiques / Physique-chimie / Sciences de la vie et de la Terre / Langues, littératures et cultures étrangères et régionales;https://www.onisep.fr/http/redirection/etablissement/slug/ENS.3714;Lycée polyvalent Blaise Pascal;15 allée Commandant Guesnet;77170;Brie-Comte-Robert;Seine-et-Marne;Ile-de-France;Créteil
AF.46597;Sciences économiques et sociales / Humanités, littérature et philosophie / Histoire-géographie, géopolitique et sciences politiques / Mathématiques / Numérique et sciences informatiques / Physique-chimie / Sciences de la vie et de la Terre / Langues, littératures et cultures étrangères et régionales;https://www.onisep.fr/http/redirection/etablissement/slug/ENS.12579;Lycée Notre-Dame;24 rue Alexandre Guilmant;92190;Meudon;Hauts-de-Seine;Ile-de-France;Versailles
AF.46607;Sciences économiques et sociales / Humanités, littérature et philosophie / Histoire-géographie, géopolitique et sciences politiques / Mathématiques / Physique-chimie / Sciences de la vie et de la Terre / LLCER anglais - monde contemporain;https://www.onisep.fr/http/redirection/etablissement/slug/ENS.4316;Lycée Louise Weiss;201 avenue du Général de Gaulle;78260;Achères;Yvelines;Ile-de-France;Versailles
AF.46630;Sciences économiques et sociales / Humanités, littérature et philosophie / Histoire-géographie, géopolitique et sciences politiques / Mathématiques / Littérature et langues et cultures de l'Antiquité / Numérique et sciences informatiques / Physique-chimie / Sciences de la vie et de la Terre / Langues, littératures et cultures étrangères et régionales;https://www.onisep.fr/http/redirection/etablissement/slug/ENS.6928;Lycée Alain;25 route de la Cascade;78110;Le Vésinet;Yvelines;Ile-de-France;Versailles
AF.46706;Sciences économiques et sociales / Humanités, littérature et philosophie / Histoire-géographie, géopolitique et sciences politiques / Mathématiques / Numérique et sciences informatiques / Physique-chimie / Sciences de la vie et de la Terre / Langues, littératures et cultures étrangères et régionales;https://www.onisep.fr/http/redirection/etablissement/slug/ENS.14933;Lycée Jacques Brel;4-6 rue Dulcie September;93120;La Courneuve;Seine-Saint-Denis;Ile-de-France;Créteil
AF.46712;Sciences économiques et sociales / Humanités, littérature et philosophie / Histoire-géographie, géopolitique et sciences politiques / Mathématiques / Numérique et sciences informatiques / Physique-chimie / Sciences de la vie et de la Terre / Langues, littératures et cultures étrangères et régionales;https://www.onisep.fr/http/redirection/etablissement/slug/ENS.7965;Lycée du Sacré-Coeur;2 rue du Gaizon;91620;La Ville-du-Bois;Essonne;Ile-de-France;Versailles
AF.46720;Sciences économiques et sociales / Mathématiques / Physique-chimie / Sciences de la vie et de la Terre;https://www.onisep.fr/http/redirection/etablissement/slug/ENS.8450;Lycée privé Ozar Hatorah;34 rue du Moulin Joly;75011;Paris;Paris;Ile-de-France;Paris
AF.46730;Sciences économiques et sociales / Humanités, littérature et philosophie / Sciences de l'ingénieur / Mathématiques / Numérique et sciences informatiques / Physique-chimie / Sciences de la vie et de la Terre / Histoire-géographie, géopolitique et sciences politiques / LLCER anglais;https://www.onisep.fr/http/redirection/etablissement/slug/ENS.15576;Lycée polyvalent Diderot;61 rue David d'Angers;75019;Paris;Paris;Ile-de-France;Paris
AF.46761;Sciences économiques et sociales / Histoire-géographie, géopolitique et sciences politiques / Mathématiques / Numérique et sciences informatiques / Physique-chimie / Sciences de la vie et de la Terre;https://www.onisep.fr/http/redirection/etablissement/slug/ENS.2181;Lycée polyvalent privé ORT;32 avenue de Choiseul;95400;Villiers-le-Bel;Val-d'Oise;Ile-de-France;Versailles
AF.51732;Sciences économiques et sociales / Humanités, littérature et philosophie / Sciences de l'ingénieur / Histoire-géographie, géopolitique et sciences politiques / Mathématiques / Numérique et sciences informatiques / Physique-chimie / Sciences de la vie et de la Terre / Langues, littératures et cultures étrangères et régionales;https://www.onisep.fr/http/redirection/etablissement/slug/ENS.8184;Lycée Jean Rostand;66 rue Fernand Bodet;78200;Mantes-la-Jolie;Yvelines;Ile-de-France;Versailles
AF.52136;Sciences économiques et sociales / Arts : arts plastiques / Humanités, littérature et philosophie / Sciences de l'ingénieur / Histoire-géographie, géopolitique et sciences politiques / Mathématiques / Numérique et sciences informatiques / Physique-chimie / Sciences de la vie et de la Terre / Langues, littératures et cultures étrangères et régionales;https://www.onisep.fr/http/redirection/etablissement/slug/ENS.2603;Lycée Richelieu;64 rue George Sand;92500;Rueil-Malmaison;Hauts-de-Seine;Ile-de-France;Versailles
AF.52176;Sciences économiques et sociales / Humanités, littérature et philosophie / Histoire-géographie, géopolitique et sciences politiques / LLCER anglais / Mathématiques / Numérique et sciences informatiques / Physique-chimie / Sciences de la vie et de la Terre;https://www.onisep.fr/http/redirection/etablissement/slug/ENS.5552;Lycée Notre-Dame des Missions St Pierre;4 rue du Président Kennedy;94220;Charenton-le-Pont;Val-de-Marne;Ile-de-France;Créteil
AF.52184;Sciences économiques et sociales / LLCER espagnol / Arts : arts plastiques / Humanités, littérature et philosophie / Histoire-géographie, géopolitique et sciences politiques / LLCER anglais / Mathématiques / Numérique et sciences informatiques / Physique-chimie / Sciences de la vie et de la Terre / LLCER anglais - monde contemporain;https://www.onisep.fr/http/redirection/etablissement/slug/ENS.3408;Lycée Notre-Dame;65 avenue du Général Leclerc;92340;Bourg-la-Reine;Hauts-de-Seine;Ile-de-France;Versailles
AF.52251;Sciences économiques et sociales / Mathématiques / Physique-chimie / Sciences de la vie et de la Terre;https://www.onisep.fr/http/redirection/etablissement/slug/ENS.7505;Lycée Ozar Hatorah;1 rue Jean Lurçat;95200;Sarcelles;Val-d'Oise;Ile-de-France;Versailles
AF.52275;Sciences économiques et sociales / LLCER espagnol / Arts : arts plastiques / Humanités, littérature et philosophie / Histoire-géographie, géopolitique et sciences politiques / LLCER anglais / Mathématiques / Physique-chimie / Sciences de la vie et de la Terre / LLCER anglais - monde contemporain;https://www.onisep.fr/http/redirection/etablissement/slug/ENS.14947;Lycée polyvalent La Tour des Dames;Rue de Vilpré;77540;Rozay-en-Brie;Seine-et-Marne;Ile-de-France;Créteil
AF.52338;Sciences économiques et sociales / Humanités, littérature et philosophie / Histoire-géographie, géopolitique et sciences politiques / Mathématiques / Physique-chimie / Sciences de la vie et de la Terre / Langues, littératures et cultures étrangères et régionales;https://www.onisep.fr/http/redirection/etablissement/slug/ENS.968;Lycée Paul Emile Victor;116 rue de Livilliers;95520;Osny;Val-d'Oise;Ile-de-France;Versailles
AF.52355;Sciences économiques et sociales / Humanités, littérature et philosophie / Histoire-géographie, géopolitique et sciences politiques / Mathématiques / Physique-chimie / Sciences de la vie et de la Terre / LLCER anglais;https://www.onisep.fr/http/redirection/etablissement/slug/ENS.10557;Lycée privé Saint-Jean de Passy;72 rue Raynouard;75016;Paris;Paris;Ile-de-France;Paris
AF.52386;Sciences économiques et sociales / Humanités, littérature et philosophie / Sciences de l'ingénieur / Histoire-géographie, géopolitique et sciences politiques / Mathématiques / Arts : danse / Physique-chimie / Sciences de la vie et de la Terre / Langues, littératures et cultures étrangères et régionales;https://www.onisep.fr/http/redirection/etablissement/slug/ENS.13975;Lycée Charles de Gaulle;102 rue Lavoisier;93110;Rosny-sous-Bois;Seine-Saint-Denis;Ile-de-France;Créteil
AF.52425;Sciences économiques et sociales / Humanités, littérature et philosophie / Histoire-géographie, géopolitique et sciences politiques / Mathématiques / Numérique et sciences informatiques / Physique-chimie / Sciences de la vie et de la Terre / LLCER anglais / LLCER espagnol;https://www.onisep.fr/http/redirection/etablissement/slug/ENS.16790;Lycée privé Eugène Napoléon - Saint-Pierre Fourier;13 rue de Prague;75012;Paris;Paris;Ile-de-France;Paris
AF.57676;Sciences économiques et sociales / Humanités, littérature et philosophie / Histoire-géographie, géopolitique et sciences politiques / Mathématiques / Numérique et sciences informatiques / Physique-chimie / Sciences de la vie et de la Terre / Langues, littératures et cultures étrangères et régionales;https://www.onisep.fr/http/redirection/etablissement/slug/ENS.8771;Lycée Marcel Pagnol;3 avenue de la Terrasse Prolongée;91200;Athis-Mons;Essonne;Ile-de-France;Versailles
AF.58093;Sciences économiques et sociales / Humanités, littérature et philosophie / Sciences de l'ingénieur / Histoire-géographie, géopolitique et sciences politiques / Mathématiques / Numérique et sciences informatiques / Physique-chimie / Sciences de la vie et de la Terre / Langues, littératures et cultures étrangères et régionales;https://www.onisep.fr/http/redirection/etablissement/slug/ENS.9840;Lycée La Salle Passy Buzenval;50 avenue Otis Mygatt;92500;Rueil-Malmaison;Hauts-de-Seine;Ile-de-France;Versailles
