Identifiant action de formation;Enseignements de spécialité de classe de 1ère générale;Identifiant et fiche onisep lieu de cours;Libellé lieu de cours;Adresse lieu de cours;Code postal lieu de cours;Commune lieu de cours;Département lieu de cours;Région lieu de cours;Académie lieu de cours
AF.40746;Sciences économiques et sociales / Humanités, littérature et philosophie / Histoire-géographie, géopolitique et sciences politiques / LLCER anglais / Mathématiques / Physique-chimie / Sciences de la vie et de la Terre;https://www.onisep.fr/http/redirection/etablissement/slug/ENS.16870;Lycée polyvalent international de l'Est parisien;1 promenade Marco Polo;93160;Noisy-le-Grand;Seine-Saint-Denis;Ile-de-France;Créteil
AF.40754;Sciences économiques et sociales / Arts : théâtre / Humanités, littérature et philosophie / Histoire-géographie, géopolitique et sciences politiques / Mathématiques / Littérature et langues et cultures de l'Antiquité / Physique-chimie / Sciences de la vie et de la Terre / Langues, littératures et cultures étrangères et régionales;https://www.onisep.fr/http/redirection/etablissement/slug/ENS.3763;Lycée polyvalent Frédéric et Irène Joliot Curie;92 avenue Joliot-Curie;92014;Nanterre;Hauts-de-Seine;Ile-de-France;Versailles
AF.40786;Sciences économiques et sociales / Humanités, littérature et philosophie / Histoire-géographie, géopolitique et sciences politiques / Mathématiques / Physique-chimie / Sciences de la vie et de la Terre / LLCER anglais;https://www.onisep.fr/http/redirection/etablissement/slug/ENS.10508;Lycée privé de l'Assomption;6 rue de Lubeck;75016;Paris;Paris;Ile-de-France;Paris
AF.40861;Sciences économiques et sociales / Sciences de l'ingénieur / Histoire-géographie, géopolitique et sciences politiques / Mathématiques / Numérique et sciences informatiques / Physique-chimie / Sciences de la vie et de la Terre / Humanités, littérature et philosophie / LLCER anglais - monde contemporain;https://www.onisep.fr/http/redirection/etablissement/slug/ENS.5145;Lycée polyvalent Dorian;74 avenue Philippe Auguste;75011;Paris;Paris;Ile-de-France;Paris
AF.40894;Sciences économiques et sociales / Arts : arts plastiques / Humanités, littérature et philosophie / Histoire-géographie, géopolitique et sciences politiques / LLCER anglais / Mathématiques / Numérique et sciences informatiques / Physique-chimie / Sciences de la vie et de la Terre;https://www.onisep.fr/http/redirection/etablissement/slug/ENS.18507;Lycée Germaine Tillion;48 bis rue Anizan Cavaillon;93350;Le Bourget;Seine-Saint-Denis;Ile-de-France;Créteil
AF.40997;Sciences économiques et sociales / Histoire-géographie, géopolitique et sciences politiques / Mathématiques / Physique-chimie / Sciences de la vie et de la Terre;https://www.onisep.fr/http/redirection/etablissement/slug/ENS.9312;Lycée Gustave Eiffel;78 avenue du Président Pompidou;92500;Rueil-Malmaison;Hauts-de-Seine;Ile-de-France;Versailles
AF.41008;Sciences économiques et sociales / Histoire-géographie, géopolitique et sciences politiques / Mathématiques / Physique-chimie / Sciences de la vie et de la Terre / Langues, littératures et cultures étrangères et régionales;https://www.onisep.fr/http/redirection/etablissement/slug/ENS.10110;Lycée P. Suger;8 rue Yves du Manoir;92420;Vaucresson;Hauts-de-Seine;Ile-de-France;Versailles
AF.42122;Sciences économiques et sociales / Humanités, littérature et philosophie / Mathématiques / Physique-chimie / Sciences de la vie et de la Terre;https://www.onisep.fr/http/redirection/etablissement/slug/ENS.6366;Lycée Franco-Allemand;7 rue Collin Mamet;78530;Buc;Yvelines;Ile-de-France;Versailles
AF.46489;Sciences de l'ingénieur / Mathématiques / Numérique et sciences informatiques / Physique-chimie;https://www.onisep.fr/http/redirection/etablissement/slug/ENS.14146;Lycée polyvalent Edouard Branly;33 rue du Petit Bois;94000;Créteil;Val-de-Marne;Ile-de-France;Créteil
AF.46504;Sciences économiques et sociales / Humanités, littérature et philosophie / Sciences de l'ingénieur / Histoire-géographie, géopolitique et sciences politiques / Mathématiques / Physique-chimie / Sciences de la vie et de la Terre / Langues, littératures et cultures étrangères et régionales;https://www.onisep.fr/http/redirection/etablissement/slug/ENS.8356;Lycée polyvalent Jean Macé;34 rue Jules Ferry;94407;Vitry-sur-Seine;Val-de-Marne;Ile-de-France;Créteil
AF.23514;Sciences économiques et sociales / Arts : arts plastiques / Arts : théâtre / Humanités, littérature et philosophie / Arts : cinéma - audiovisuel / Sciences de l'ingénieur / Histoire-géographie, géopolitique et sciences politiques / Mathématiques / Numérique et sciences informatiques / Physique-chimie / Sciences de la vie et de la Terre / LLCER espagnol / LLCER anglais;https://www.onisep.fr/http/redirection/etablissement/slug/ENS.2747;Lycée Rosa Parks;2 place de l'Europe;91230;Montgeron;Essonne;Ile-de-France;Versailles
AF.23597;Sciences économiques et sociales / Humanités, littérature et philosophie / Histoire-géographie, géopolitique et sciences politiques / Mathématiques / Littérature et langues et cultures de l'Antiquité / Numérique et sciences informatiques / Physique-chimie / Sciences de la vie et de la Terre / Langues, littératures et cultures étrangères et régionales;https://www.onisep.fr/http/redirection/etablissement/slug/ENS.4321;Lycée Jacques Monod;46 rue du Fort;92140;Clamart;Hauts-de-Seine;Ile-de-France;Versailles
AF.23618;Sciences économiques et sociales / Histoire-géographie, géopolitique et sciences politiques / Mathématiques / Langues, littératures et cultures étrangères et régionales / Humanités, littérature et philosophie;https://www.onisep.fr/http/redirection/etablissement/slug/ENS.10760;Lycée Jean-Baptiste Poquelin;72 rue Léon Désoyer;78100;Saint-Germain-en-Laye;Yvelines;Ile-de-France;Versailles
AF.23653;Sciences économiques et sociales / Histoire-géographie, géopolitique et sciences politiques / Mathématiques / Numérique et sciences informatiques / Physique-chimie;https://www.onisep.fr/http/redirection/etablissement/slug/ENS.7206;Lycée Saint-Gabriel;21 rue de la Lisette;92220;Bagneux;Hauts-de-Seine;Ile-de-France;Versailles
AF.23701;Sciences économiques et sociales / Humanités, littérature et philosophie / Histoire-géographie, géopolitique et sciences politiques / Mathématiques / Littérature et langues et cultures de l'Antiquité / Physique-chimie / Sciences de la vie et de la Terre / Langues, littératures et cultures étrangères et régionales;https://www.onisep.fr/http/redirection/etablissement/slug/ENS.10325;Etablissement régional d'enseignement adapté Toulouse-Lautrec;131 avenue de la Celle St Cloud;92420;Vaucresson;Hauts-de-Seine;Ile-de-France;Versailles
AF.23708;Sciences économiques et sociales / Humanités, littérature et philosophie / Sciences de l'ingénieur / Histoire-géographie, géopolitique et sciences politiques / Mathématiques / Numérique et sciences informatiques / Physique-chimie / Sciences de la vie et de la Terre / LLCER anglais / LLCER anglais - monde contemporain;https://www.onisep.fr/http/redirection/etablissement/slug/ENS.13283;Lycée Arago;4 place de la Nation;75012;Paris;Paris;Ile-de-France;Paris
AF.29231;Biologie-écologie / Mathématiques / Physique-chimie;https://www.onisep.fr/http/redirection/etablissement/slug/ENS.10106;Lycée polyvalent agricole La Salle Igny;10 avenue de la Division Leclerc;91430;Igny;Essonne;Ile-de-France;Versailles
AF.29390;Sciences économiques et sociales / Humanités, littérature et philosophie / Histoire-géographie, géopolitique et sciences politiques / Mathématiques / Physique-chimie / Sciences de la vie et de la Terre / Numérique et sciences informatiques / LLCER anglais / LLCER espagnol;https://www.onisep.fr/http/redirection/etablissement/slug/ENS.6076;Lycée Jacques Prévert;23 rue Jules Ferry;91162;Longjumeau;Essonne;Ile-de-France;Versailles
AF.29414;Sciences économiques et sociales / Humanités, littérature et philosophie / Sciences de l'ingénieur / Histoire-géographie, géopolitique et sciences politiques / LLCER anglais / Mathématiques / Littérature et langues et cultures de l'Antiquité / Physique-chimie / Sciences de la vie et de la Terre / LLCER espagnol;https://www.onisep.fr/http/redirection/etablissement/slug/ENS.15366;Lycée polyvalent Guillaume Budé;2 voie Georges Pompidou;94450;Limeil-Brévannes;Val-de-Marne;Ile-de-France;Créteil
AF.12027;Sciences économiques et sociales / Arts : théâtre / Humanités, littérature et philosophie / Histoire-géographie, géopolitique et sciences politiques / Mathématiques / Physique-chimie / Sciences de la vie et de la Terre / Langues, littératures et cultures étrangères et régionales;https://www.onisep.fr/http/redirection/etablissement/slug/ENS.12322;Lycée Galilée;Avenue André Malraux;77380;Combs-la-Ville;Seine-et-Marne;Ile-de-France;Créteil
AF.12138;Sciences économiques et sociales / Humanités, littérature et philosophie / Histoire-géographie, géopolitique et sciences politiques / Mathématiques / Littérature et langues et cultures de l'Antiquité / Physique-chimie / Sciences de la vie et de la Terre / Langues, littératures et cultures étrangères et régionales;https://www.onisep.fr/http/redirection/etablissement/slug/ENS.18901;Fondation Ellen Poidatz;1 rue Ellen Poidatz;77310;Saint-Fargeau-Ponthierry;Seine-et-Marne;Ile-de-France;Créteil
AF.12169;Sciences économiques et sociales / Humanités, littérature et philosophie / Histoire-géographie, géopolitique et sciences politiques / Mathématiques / Physique-chimie / Sciences de la vie et de la Terre / Langues, littératures et cultures étrangères et régionales;https://www.onisep.fr/http/redirection/etablissement/slug/ENS.7449;Lycée Uruguay France;1 avenue des Marronniers;77215;Avon;Seine-et-Marne;Ile-de-France;Créteil
AF.12205;Sciences économiques et sociales / Humanités, littérature et philosophie / Histoire-géographie, géopolitique et sciences politiques / Mathématiques / Numérique et sciences informatiques / Physique-chimie / Sciences de la vie et de la Terre / Langues, littératures et cultures étrangères et régionales;https://www.onisep.fr/http/redirection/etablissement/slug/ENS.16373;Lycée François Villon;Rue Salvador Allende;78130;Les Mureaux;Yvelines;Ile-de-France;Versailles
