n°UAI de l'établissement;Libellé de l'établissement;Région;Niveau de formation;;Taux de poursuite d'études;Taux d'emploi 6 mois après la sortie
0754476H;Lycée polyvalent Guillaume Tirel - Lycée des métiers de l' hotellerie;ILE-DE-FRANCE;MC5;25;;
0754530S;Lycée polyvalent Martin Nadaud;ILE-DE-FRANCE;BAC;;60;35
0754530S;Lycée polyvalent Martin Nadaud;ILE-DE-FRANCE;BTS;59;17;48
0754666P;Lycée général et technologique privé Passy-Saint Honoré;ILE-DE-FRANCE;BTS;39;47;45
0754924V;Lycée Polyvalent Privé Notre-Dame - Saint Vincent de Paul - Lycée des Métiers de la Santé et du social;ILE-DE-FRANCE;BAC;25;55;32
0754924V;Lycée Polyvalent Privé Notre-Dame - Saint Vincent de Paul - Lycée des Métiers de la Santé et du social;ILE-DE-FRANCE;BTS;57;36;40
0754924V;Lycée Polyvalent Privé Notre-Dame - Saint Vincent de Paul - Lycée des Métiers de la Santé et du social;ILE-DE-FRANCE;CAP;33;74;
0754924V;Lycée Polyvalent Privé Notre-Dame - Saint Vincent de Paul - Lycée des Métiers de la Santé et du social;ILE-DE-FRANCE;MC5;32;44;
0770342D;Lycée d'enseignement adapté de Chamigny Garçon;ILE-DE-FRANCE;CAP;15;59;5
0770918E;Lycée polyvalent Uruguay France - Lycée des métiers du social et de la santé;ILE-DE-FRANCE;BAC;25;63;36
0770918E;Lycée polyvalent Uruguay France - Lycée des métiers du social et de la santé;ILE-DE-FRANCE;BTS;27;46;51
0770918E;Lycée polyvalent Uruguay France - Lycée des métiers du social et de la santé;ILE-DE-FRANCE;CAP;24;45;23
0770918E;Lycée polyvalent Uruguay France - Lycée des métiers du social et de la santé;ILE-DE-FRANCE;MC4;32;;
