n°UAI de l'établissement;Libellé de l'établissement;Région;Niveau de formation;;Taux de poursuite d'études;Taux d'emploi 6 mois après la sortie
0951787B;Lycée polyvalent Arthur Rimbaud, lycée de métiers de l'automobile, du commerce et de la logistique;ILE-DE-FRANCE;CAP;32;44;20
0951788C;Lycée polyvalent George Sand;ILE-DE-FRANCE;BAC;26;50;34
0951788C;Lycée polyvalent George Sand;ILE-DE-FRANCE;CAP;18;83;
0951811C;Lycée polyvalent Fernand et Nadia Léger, lycée des métiers du social, de la santé, des services;ILE-DE-FRANCE;BAC;12;52;27
0951811C;Lycée polyvalent Fernand et Nadia Léger, lycée des métiers du social, de la santé, des services;ILE-DE-FRANCE;BP;28;;
0951811C;Lycée polyvalent Fernand et Nadia Léger, lycée des métiers du social, de la santé, des services;ILE-DE-FRANCE;BTS;;34;41
0951811C;Lycée polyvalent Fernand et Nadia Léger, lycée des métiers du social, de la santé, des services;ILE-DE-FRANCE;CAP;12;60;12
0951811C;Lycée polyvalent Fernand et Nadia Léger, lycée des métiers du social, de la santé, des services;ILE-DE-FRANCE;MC5;23;31;52
0951824S;Lycée polyvalent de L'Hautil;ILE-DE-FRANCE;BAC;;56;37
0951824S;Lycée polyvalent de L'Hautil;ILE-DE-FRANCE;BTS;21;40;43
0951922Y;Lycée général et technologique Camille Saint-Saëns;ILE-DE-FRANCE;BTS;45;50;61
0951937P;Lycée polyvalent Paul-Emile Victor;ILE-DE-FRANCE;BAC;22;57;35
0951974E;Lycée polyvalent Louis Armand;ILE-DE-FRANCE;BAC;24;52;22
0951974E;Lycée polyvalent Louis Armand;ILE-DE-FRANCE;BTS;24;;
0951974E;Lycée polyvalent Louis Armand;ILE-DE-FRANCE;CAP;;53;
0951974E;Lycée polyvalent Louis Armand;ILE-DE-FRANCE;MC4;25;;
0951994B;Lycée polyvalent privé ORT;ILE-DE-FRANCE;BAC;;56;
0951994B;Lycée polyvalent privé ORT;ILE-DE-FRANCE;BTS;26;48;44
0951998F;Lycée polyvalent privé de GARAC, lycée des métiers de la vente et de l'après-vente auto, moto et véhicule industriel;ILE-DE-FRANCE;BAC;24;65;48
0951998F;Lycée polyvalent privé de GARAC, lycée des métiers de la vente et de l'après-vente auto, moto et véhicule industriel;ILE-DE-FRANCE;BTS;19;51;60
0952173W;Lycée polyvalent Eugène Ronceray;ILE-DE-FRANCE;BAC;15;51;27
0952173W;Lycée polyvalent Eugène Ronceray;ILE-DE-FRANCE;CAP;30;61;
0952196W;Lycée polyvalent Gustave Monod, lycée des métiers de l'ingénierie industrielle;ILE-DE-FRANCE;BAC;20;58;29
0952196W;Lycée polyvalent Gustave Monod, lycée des métiers de l'ingénierie industrielle;ILE-DE-FRANCE;BTS;41;33;49
0952196W;Lycée polyvalent Gustave Monod, lycée des métiers de l'ingénierie industrielle;ILE-DE-FRANCE;CAP;47;;
0952196W;Lycée polyvalent Gustave Monod, lycée des métiers de l'ingénierie industrielle;ILE-DE-FRANCE;MC4;;41;
