"libellé métier";"lien site onisep.fr";"nom publication";collection;année;gencod;GFE;"code ROME";"libellé ROME";"lien ROME";domaine/sous-domaine
"directeur / directrice des services pénitentiaires";https://www.onisep.fr/http/redirection/metier/slug/MET.807;"Les métiers de la justice";Parcours;2020;9782273015165;"GFE W : droit, enseignement, recherche et sciences humaines";K1403;"Management de structure de santé, sociale ou pénitentiaire";https://candidat.francetravail.fr/marche-du-travail/fichemetierrome?codeRome=K1403;"économie, droit, politique/activité judiciaire"
"directeur / directrice artistique";https://www.onisep.fr/http/redirection/metier/slug/MET.537;"Les métiers du design";Parcours;2019;9782273014595;"GFE U : communication, médias";E1104;"Conception de contenus multimédias";https://candidat.francetravail.fr/marche-du-travail/fichemetierrome?codeRome=E1104;"arts, culture, artisanat/arts graphiques| information-communication, audiovisuel/journalisme, édition, publicité"
"directeur / directrice d'accueil collectif de mineurs (ACM)";https://www.onisep.fr/http/redirection/metier/slug/MET.713;"Les métiers de l'animation";"Zoom sur les métiers";2019;9782273014892;"GFE S : hôtellerie,  tourisme, loisirs";G1203;"Animation de loisirs auprès d'enfants ou d'adolescents";https://candidat.francetravail.fr/marche-du-travail/fichemetierrome?codeRome=G1203;"santé, social, sport/travail social"
"directeur / directrice d'hôpital";https://www.onisep.fr/http/redirection/metier/slug/MET.688;;"pas de publication Onisep spécifique";;;"GFE R : santé, social, soins personnels";K1403;"Management de structure de santé, sociale ou pénitentiaire";https://candidat.francetravail.fr/marche-du-travail/fichemetierrome?codeRome=K1403;"gestion des entreprises, comptabilité/administration de l'entreprise| gestion des entreprises, comptabilité/ressources humaines| économie, droit, politique/sciences économiques"
"directeur / directrice d'hôtel";https://www.onisep.fr/http/redirection/metier/slug/MET.2;"Les métiers de l'hôtellerie et des restaurations";"Zoom sur les métiers";2021;9782273015509;"GFE S : hôtellerie,  tourisme, loisirs";G1402;"Management d'hôtel-restaurant";https://candidat.francetravail.fr/marche-du-travail/fichemetierrome?codeRome=G1402;"gestion des entreprises, comptabilité/administration de l'entreprise| hôtellerie-restauration, tourisme/hôtellerie| hôtellerie-restauration, tourisme/tourisme"
"directeur / directrice de golf";https://www.onisep.fr/http/redirection/metier/slug/MET.464;"Les métiers du sport";Parcours;2021;9782273015875;"GFE S : hôtellerie,  tourisme, loisirs";G1403;"Gestion de structure de loisirs ou d'hébergement touristique";https://candidat.francetravail.fr/marche-du-travail/fichemetierrome?codeRome=G1403;"santé, social, sport/sport"
"directeur / directrice de magasin à grande surface";https://www.onisep.fr/http/redirection/metier/slug/MET.542;"Les métiers du commerce, du marketing et de la publicité";Parcours;2021;9782273015936;"GFE Q : commerce, gestion, finances";D1504;"Direction de magasin de grande distribution";https://candidat.francetravail.fr/marche-du-travail/fichemetierrome?codeRome=D1504;"gestion des entreprises, comptabilité/administration de l'entreprise| commerce, marketing, vente/grande distribution et petits commerces"
"directeur / directrice des effets spéciaux";https://www.onisep.fr/http/redirection/metier/slug/MET.609;;"pas de publication Onisep spécifique";;;"GFE V : arts, spectacle, audiovisuel";;;;"information-communication, audiovisuel/audiovisuel"
"domoticien / domoticienne";https://www.onisep.fr/http/redirection/metier/slug/MET.795;"Les métiers du bâtiment et des travaux publics";Parcours;2023;9782273016445;"GFE H : électricité, énergie, électronique";F1106;"Ingénierie et études du BTP";https://candidat.francetravail.fr/marche-du-travail/fichemetierrome?codeRome=F1106;"électricité, électronique, robotique/électronique| électricité, électronique, robotique/électrotechnique| environnement, énergies, propreté/énergies| construction, architecture, travaux publics/équipement technique"
"économe de flux";https://www.onisep.fr/http/redirection/metier/slug/MET.60;"Les métiers de l'environnement et du développement durable";Parcours;2020;9782273015042;"GFE H : électricité, énergie, électronique";;;;"environnement, énergies, propreté/énergies"
écotoxicologue;https://www.onisep.fr/http/redirection/metier/slug/MET.372;"Les métiers de l'environnement et du développement durable";Parcours;2020;9782273015042;"GFE T : environnement, nettoyage, sécurité";K2402;"Recherche en sciences de l'univers, de la matière et du vivant";https://candidat.francetravail.fr/marche-du-travail/fichemetierrome?codeRome=K2402;"sciences/biologie| sciences/chimie"
"éducateur / éducatrice de chiens guides d'aveugles";https://www.onisep.fr/http/redirection/metier/slug/MET.7817;"Travailler auprès des animaux";Parcours;2023;9782273016438;"GFE A : agriculture";;;;"agriculture, animaux/soins aux animaux"
"éducateur / éducatrice de la protection judiciaire de la jeunesse";https://www.onisep.fr/http/redirection/metier/slug/MET.924;"Les métiers du social";Parcours;2019;9782273014571;"GFE R : santé, social, soins personnels";K1207;"Intervention socioéducative";https://candidat.francetravail.fr/marche-du-travail/fichemetierrome?codeRome=K1207;"santé, social, sport/travail social"
"éducateur spécialisé / éducatrice spécialisée";https://www.onisep.fr/http/redirection/metier/slug/MET.311;"Les métiers du social";Parcours;2019;9782273014571;"GFE R : santé, social, soins personnels";K1207;"Intervention socioéducative";https://candidat.francetravail.fr/marche-du-travail/fichemetierrome?codeRome=K1207;"santé, social, sport/travail social"
"éducateur spécialisé / éducatrice spécialisée";https://www.onisep.fr/http/redirection/metier/slug/MET.311;"Travailler auprès des enfants";Parcours;2023;9782273016780;"GFE R : santé, social, soins personnels";K1207;"Intervention socioéducative";https://candidat.francetravail.fr/marche-du-travail/fichemetierrome?codeRome=K1207;"santé, social, sport/travail social"
"éducateur technique spécialisé / éducatrice technique spécialisée";https://www.onisep.fr/http/redirection/metier/slug/MET.711;"Les métiers du social";Parcours;2019;9782273014571;"GFE R : santé, social, soins personnels";K1203;"Encadrement technique en insertion professionnelle";https://candidat.francetravail.fr/marche-du-travail/fichemetierrome?codeRome=K1203;"santé, social, sport/travail social"
"électricien installateur / électricienne installatrice";https://www.onisep.fr/http/redirection/metier/slug/MET.56;"Les métiers du bâtiment et des travaux publics";Parcours;2023;9782273016445;"GFE H : électricité, énergie, électronique";F1602;"Électricité bâtiment";https://candidat.francetravail.fr/marche-du-travail/fichemetierrome?codeRome=F1602;"électricité, électronique, robotique/électrotechnique| construction, architecture, travaux publics/équipement technique"
"électronicien / électronicienne automobile";https://www.onisep.fr/http/redirection/metier/slug/MET.404;"Les métiers de l'automobile";Parcours;2020;9782273015172;"GFE H : électricité, énergie, électronique";I1604;"Mécanique automobile et entretien de véhicules";https://candidat.francetravail.fr/marche-du-travail/fichemetierrome?codeRome=I1604;"mécanique/automobile| électricité, électronique, robotique/électronique"
"employé / employée d'élevage";https://www.onisep.fr/http/redirection/metier/slug/MET.250;"Les métiers de l'agriculture et de la forêt";Parcours;2020;9782273015219;"GFE A : agriculture";"A1407 | A1409 | A1410 | A1411";"Élevage bovin ou équin | Élevage de lapins et volailles | Élevage ovin ou caprin | Élevage porcin";"https://candidat.francetravail.fr/marche-du-travail/fichemetierrome?codeRome=A1407 | https://candidat.francetravail.fr/marche-du-travail/fichemetierrome?codeRome=A1409 | https://candidat.francetravail.fr/marche-du-travail/fichemetierrome?codeRome=A1410 | https://candidat.francetravail.fr/marche-du-travail/fichemetierrome?codeRome=A1411";"agriculture, animaux/élevage, aquaculture"
"employé / employée de restaurant";https://www.onisep.fr/http/redirection/metier/slug/MET.655;"Les métiers de l'hôtellerie et des restaurations";"Zoom sur les métiers";2021;9782273015509;"GFE S : hôtellerie,  tourisme, loisirs";G1803;"Service en restauration";https://candidat.francetravail.fr/marche-du-travail/fichemetierrome?codeRome=G1803;"hôtellerie-restauration, tourisme/restauration"
"énergéticien / énergéticienne";https://www.onisep.fr/http/redirection/metier/slug/MET.752;"Les métiers de l'énergie";Parcours;2022;9782273015998;"GFE J : transformation des matériaux, procédés (biologie, chimie, physique)";;;;"mécanique/automatismes| électricité, électronique, robotique/électrotechnique| environnement, énergies, propreté/énergies| matières premières, fabrication, industries/papier, carton| sciences/physique"
"enseignant / enseignante de la conduite automobile et de la sécurité routière";https://www.onisep.fr/http/redirection/metier/slug/MET.680;"Les métiers du transport et de la logistique";Parcours;2019;9782273014533;"GFE O : transport, logistique";K2110;"Formation en conduite de véhicules";https://candidat.francetravail.fr/marche-du-travail/fichemetierrome?codeRome=K2110;"lettres, langues, enseignement/enseignement| logistique, transport/transport"
"enseignant spécialisé / enseignante spécialisée";https://www.onisep.fr/http/redirection/metier/slug/MET.766;"Travailler auprès des enfants";Parcours;2023;9782273016780;"GFE W : droit, enseignement, recherche et sciences humaines";K2109;"Enseignement technique et professionnel";https://candidat.francetravail.fr/marche-du-travail/fichemetierrome?codeRome=K2109;"lettres, langues, enseignement/enseignement| santé, social, sport/travail social"
ergonome;https://www.onisep.fr/http/redirection/metier/slug/MET.884;"Les métiers de l'automobile";Parcours;2020;9782273015172;"GFE R : santé, social, soins personnels";M1402;"Conseil en organisation et management d'entreprise";https://candidat.francetravail.fr/marche-du-travail/fichemetierrome?codeRome=M1402;"histoire-géographie, psychologie, sociologie/psychologie| histoire-géographie, psychologie, sociologie/sciences sociales"
ergothérapeute;https://www.onisep.fr/http/redirection/metier/slug/MET.280;"Les métiers du paramédical";Parcours;2022;9782273016117;"GFE R : santé, social, soins personnels";J1403;Ergothérapie;https://candidat.francetravail.fr/marche-du-travail/fichemetierrome?codeRome=J1403;"santé, social, sport/paramédical"
ethnologue;https://www.onisep.fr/http/redirection/metier/slug/MET.414;;"pas de publication Onisep spécifique";;;"GFE W : droit, enseignement, recherche et sciences humaines";K2401;"Recherche en sciences de l'homme et de la société";https://candidat.francetravail.fr/marche-du-travail/fichemetierrome?codeRome=K2401;"histoire-géographie, psychologie, sociologie/sciences sociales"
"expert / experte en sécurité informatique";https://www.onisep.fr/http/redirection/metier/slug/MET.459;"Les métiers du numérique";Parcours;2020;9782273015226;"GFE P : Gestion et traitement de l'information (informatique, statistique, documentation)";M1802;"Expertise et support en systèmes d'information";https://candidat.francetravail.fr/marche-du-travail/fichemetierrome?codeRome=M1802;"informatique, Internet/systèmes et réseaux"
"façadier / façadière";https://www.onisep.fr/http/redirection/metier/slug/MET.78;"Les métiers du bâtiment et des travaux publics";Parcours;2023;9782273016445;"GFE C : bâtiment";F1611;"Réalisation et restauration de façades";https://candidat.francetravail.fr/marche-du-travail/fichemetierrome?codeRome=F1611;"construction, architecture, travaux publics/génie civil, construction (généralités)"
"femme / valet de chambre";https://www.onisep.fr/http/redirection/metier/slug/MET.534;"Les métiers de l'hôtellerie et de la restauration";Parcours;2022;9782273016179;"GFE S : hôtellerie,  tourisme, loisirs";G1501;"Personnel d'étage";https://candidat.francetravail.fr/marche-du-travail/fichemetierrome?codeRome=G1501;"hôtellerie-restauration, tourisme/hôtellerie| environnement, énergies, propreté/propreté"
"footballeur / footballeuse";https://www.onisep.fr/http/redirection/metier/slug/MET.651;"Les métiers du sport";Parcours;2021;9782273015875;"GFE S : hôtellerie,  tourisme, loisirs";L1401;"Sportif professionnel";https://candidat.francetravail.fr/marche-du-travail/fichemetierrome?codeRome=L1401;"santé, social, sport/sport"
"formulateur / formulatrice";https://www.onisep.fr/http/redirection/metier/slug/MET.80;"Les métiers du goût et des saveurs";Parcours;2021;9782273015721;"GFE J : transformation des matériaux, procédés (biologie, chimie, physique)";H1505;"Intervention technique en formulation et analyse sensorielle";https://candidat.francetravail.fr/marche-du-travail/fichemetierrome?codeRome=H1505;sciences/chimie
"garçon / serveuse de café";https://www.onisep.fr/http/redirection/metier/slug/MET.535;"Les métiers de l'hôtellerie et des restaurations";"Zoom sur les métiers";2021;9782273015509;"GFE S : hôtellerie,  tourisme, loisirs";G1801;"Café, bar brasserie";https://candidat.francetravail.fr/marche-du-travail/fichemetierrome?codeRome=G1801;"hôtellerie-restauration, tourisme/restauration"
"garde à cheval";https://www.onisep.fr/http/redirection/metier/slug/MET.454;"Travailler auprès des animaux";Parcours;2023;9782273016438;"GFE T : environnement, nettoyage, sécurité";A1204;"Protection du patrimoine naturel";https://candidat.francetravail.fr/marche-du-travail/fichemetierrome?codeRome=A1204;"environnement, énergies, propreté/protection des espaces naturels| armée, sécurité/sécurité, prévention"
gendarme;https://www.onisep.fr/http/redirection/metier/slug/MET.313;;"pas de publication Onisep spécifique";;;"GFE T : environnement, nettoyage, sécurité";K1706;"Sécurité publique";https://candidat.francetravail.fr/marche-du-travail/fichemetierrome?codeRome=K1706;"armée, sécurité/sécurité, prévention"
géographe;https://www.onisep.fr/http/redirection/metier/slug/MET.73;;"pas de publication Onisep spécifique";;;"GFE T : environnement, nettoyage, sécurité";M1808;"Information géographique";https://candidat.francetravail.fr/marche-du-travail/fichemetierrome?codeRome=M1808;"histoire-géographie, psychologie, sociologie/géographie"
"géomaticien / géomaticienne";https://www.onisep.fr/http/redirection/metier/slug/MET.192;"Les métiers de l'architecture, de l'urbanisme et du paysage";Parcours;2020;9782273015196;"GFE T : environnement, nettoyage, sécurité";M1808;"Information géographique";https://candidat.francetravail.fr/marche-du-travail/fichemetierrome?codeRome=M1808;"environnement, énergies, propreté/aménagement du territoire| histoire-géographie, psychologie, sociologie/géographie| sciences/sciences de la Terre"
"géomaticien / géomaticienne";https://www.onisep.fr/http/redirection/metier/slug/MET.192;"Les métiers de l'informatique";Parcours;2022;9782273016155;"GFE T : environnement, nettoyage, sécurité";M1808;"Information géographique";https://candidat.francetravail.fr/marche-du-travail/fichemetierrome?codeRome=M1808;"environnement, énergies, propreté/aménagement du territoire| histoire-géographie, psychologie, sociologie/géographie| sciences/sciences de la Terre"
géomètre-topographe;https://www.onisep.fr/http/redirection/metier/slug/MET.408;"Les métiers de l'immobilier";Parcours;2021;9782273015837;"GFE C : bâtiment";F1108;"Métré de la construction";https://candidat.francetravail.fr/marche-du-travail/fichemetierrome?codeRome=F1108;"construction, architecture, travaux publics/bureau d'études BTP| sciences/sciences de la Terre| construction, architecture, travaux publics/travaux publics"
"gérant / gérante de portefeuille";https://www.onisep.fr/http/redirection/metier/slug/MET.660;"Les métiers de la banque, de la finance et de l'assurance";Parcours;2022;9782273016094;"GFE Q : commerce, gestion, finances";C1303;"Gestion de portefeuilles sur les marchés financiers";https://candidat.francetravail.fr/marche-du-travail/fichemetierrome?codeRome=C1303;"banque, assurances, immobilier/banque"
"gestionnaire actif / passif";https://www.onisep.fr/http/redirection/metier/slug/MET.815;"Les métiers de la banque, de la finance et de l'assurance";Parcours;2022;9782273016094;"GFE Q : commerce, gestion, finances";C1105;"Études actuarielles en assurances";https://candidat.francetravail.fr/marche-du-travail/fichemetierrome?codeRome=C1105;"banque, assurances, immobilier/assurances"
"gestionnaire de flux reverse logistic";https://www.onisep.fr/http/redirection/metier/slug/MET.958;"Les métiers du transport et de la logistique";Parcours;2019;9782273014533;"GFE O : transport, logistique";;;;"logistique, transport/logistique| logistique, transport/transport"
"gestionnaire de patrimoine";https://www.onisep.fr/http/redirection/metier/slug/MET.213;"Ecoles de commerce";Dossiers;2024;9782273016582;"GFE Q : commerce, gestion, finances";C1205;"Conseil en gestion de patrimoine financier";https://candidat.francetravail.fr/marche-du-travail/fichemetierrome?codeRome=C1205;"banque, assurances, immobilier/assurances| banque, assurances, immobilier/banque| économie, droit, politique/droit privé| économie, droit, politique/droit public| économie, droit, politique/sciences économiques"
gouvernante;https://www.onisep.fr/http/redirection/metier/slug/MET.40;"Les métiers de l'hôtellerie et de la restauration";Parcours;2022;9782273016179;"GFE S : hôtellerie,  tourisme, loisirs";G1503;"Management du personnel d'étage";https://candidat.francetravail.fr/marche-du-travail/fichemetierrome?codeRome=G1503;"hôtellerie-restauration, tourisme/hôtellerie| environnement, énergies, propreté/propreté"
"grutier / grutière";https://www.onisep.fr/http/redirection/metier/slug/MET.698;"Les métiers du bâtiment et des travaux publics";Parcours;2023;9782273016445;"GFE C : bâtiment";F1301;"Conduite de grue";https://candidat.francetravail.fr/marche-du-travail/fichemetierrome?codeRome=F1301;"mécanique/engins| construction, architecture, travaux publics/génie civil, construction (généralités)| construction, architecture, travaux publics/travaux publics"
"guide-conférencier / guide-conférencière";https://www.onisep.fr/http/redirection/metier/slug/MET.941;"Les métiers du tourisme";Parcours;2023;9782273016339;"GFE S : hôtellerie,  tourisme, loisirs";G1201;"Accompagnement de voyages, d'activités culturelles ou sportives";https://candidat.francetravail.fr/marche-du-travail/fichemetierrome?codeRome=G1201;"arts, culture, artisanat/activités culturelles| histoire-géographie, psychologie, sociologie/histoire| arts, culture, artisanat/histoire de l'art| hôtellerie-restauration, tourisme/tourisme"
histologiste;https://www.onisep.fr/http/redirection/metier/slug/MET.702;"Les métiers du médical";Parcours;2021;9782273015813;"GFE R : santé, social, soins personnels";J1201;"Biologie médicale";https://candidat.francetravail.fr/marche-du-travail/fichemetierrome?codeRome=J1201;sciences/biologie
"horloger / horlogère";https://www.onisep.fr/http/redirection/metier/slug/MET.605;"Les métiers de l'artisanat d'art";Parcours;2023;9782273016353;"GFE F : mécanique";B1604;"Réparation - montage en systèmes horlogers";https://candidat.francetravail.fr/marche-du-travail/fichemetierrome?codeRome=B1604;"arts, culture, artisanat/artisanat d'art| mécanique/mécanique (généralités)"
"hôte / hôtesse d'accueil";https://www.onisep.fr/http/redirection/metier/slug/MET.285;"Les métiers du tourisme";Parcours;2023;9782273016339;"GFE S : hôtellerie,  tourisme, loisirs";M1601;"Accueil et renseignements";https://candidat.francetravail.fr/marche-du-travail/fichemetierrome?codeRome=M1601;"hôtellerie-restauration, tourisme/hôtellerie| gestion des entreprises, comptabilité/secrétariat"
"hydraulicien / hydraulicienne";https://www.onisep.fr/http/redirection/metier/slug/MET.908;"Les métiers de l'environnement et du développement durable";Parcours;2020;9782273015042;"GFE T : environnement, nettoyage, sécurité";;;;"construction, architecture, travaux publics/génie civil| sciences/physique| sciences/sciences de la Terre"
"illustrateur / illustratrice";https://www.onisep.fr/http/redirection/metier/slug/MET.780;"Les métiers du design";Parcours;2019;9782273014595;"GFE U : communication, médias";B1101;"Création en arts plastiques";https://candidat.francetravail.fr/marche-du-travail/fichemetierrome?codeRome=B1101;"arts, culture, artisanat/arts graphiques| arts, culture, artisanat/arts plastiques"
"infirmier / infirmière";https://www.onisep.fr/http/redirection/metier/slug/MET.38;"Travailler auprès des enfants";Parcours;2023;9782273016780;"GFE R : santé, social, soins personnels";J1506;"Soins infirmiers généralistes";https://candidat.francetravail.fr/marche-du-travail/fichemetierrome?codeRome=J1506;"santé, social, sport/paramédical"
"ingénieur / ingénieure analyste de l'air";https://www.onisep.fr/http/redirection/metier/slug/MET.225;"Les métiers de l'environnement et du développement durable";Parcours;2020;9782273015042;"GFE T : environnement, nettoyage, sécurité";H1501;"Direction de laboratoire d'analyse industrielle";https://candidat.francetravail.fr/marche-du-travail/fichemetierrome?codeRome=H1501;"sciences/chimie| environnement, énergies, propreté/déchets, pollutions et risques| environnement, énergies, propreté/environnement (généralités)"
"ingénieur / ingénieure chimiste";https://www.onisep.fr/http/redirection/metier/slug/MET.170;"Les métiers de l'industrie de la chimie";"Zoom sur les métiers";2021;9782273015622;"GFE J : transformation des matériaux, procédés (biologie, chimie, physique)";H2502;"Management et ingénierie de production";https://candidat.francetravail.fr/marche-du-travail/fichemetierrome?codeRome=H2502;"matières premières, fabrication, industries/agroalimentaire| sciences/chimie| matières premières, fabrication, industries/matériaux| santé, social, sport/médical| matières premières, fabrication, industries/méthodes industrialisation"
"ingénieur / ingénieure d'application";https://www.onisep.fr/http/redirection/metier/slug/MET.208;"Les métiers du paramédical";Parcours;2022;9782273016117;"GFE R : santé, social, soins personnels";H1206;"Management et ingénierie études, recherche et développement industriel";https://candidat.francetravail.fr/marche-du-travail/fichemetierrome?codeRome=H1206;"santé, social, sport/santé (généralités)"
"ingénieur / ingénieure de maintenance industrielle";https://www.onisep.fr/http/redirection/metier/slug/MET.491;"Les métiers de l'électronique et de la robotique";Parcours;2022;9782273015974;"GFE F : mécanique";I1102;"Management et ingénierie de maintenance industrielle";https://candidat.francetravail.fr/marche-du-travail/fichemetierrome?codeRome=I1102;"mécanique/automatismes| électricité, électronique, robotique/électrotechnique| matières premières, fabrication, industries/maintenance, qualité| mécanique/mécanique (généralités)"
"ingénieur / ingénieure du son";https://www.onisep.fr/http/redirection/metier/slug/MET.585;"Les métiers du cinéma";Parcours;2021;9782273015745;"GFE U : communication, médias";L1508;"Prise de son et sonorisation";https://candidat.francetravail.fr/marche-du-travail/fichemetierrome?codeRome=L1508;"arts, culture, artisanat/arts du spectacle| information-communication, audiovisuel/audiovisuel"
"ingénieur / ingénieure en acoustique";https://www.onisep.fr/http/redirection/metier/slug/MET.728;"Les métiers du bâtiment et des travaux publics";Parcours;2023;9782273016445;"GFE C : bâtiment";F1106;"Ingénierie et études du BTP";https://candidat.francetravail.fr/marche-du-travail/fichemetierrome?codeRome=F1106;"environnement, énergies, propreté/déchets, pollutions et risques| construction, architecture, travaux publics/équipement technique| construction, architecture, travaux publics/génie civil| sciences/physique"
"ingénieur / ingénieure en construction automobile";https://www.onisep.fr/http/redirection/metier/slug/MET.943;"Les métiers de l'automobile";Parcours;2020;9782273015172;"GFE F : mécanique";"H1206 | H2502";"Management et ingénierie études, recherche et développement industriel | Management et ingénierie de production";"https://candidat.francetravail.fr/marche-du-travail/fichemetierrome?codeRome=H1206 | https://candidat.francetravail.fr/marche-du-travail/fichemetierrome?codeRome=H2502";"mécanique/automobile| matières premières, fabrication, industries/génie industriel"
"ingénieur / ingénieure en construction navale";https://www.onisep.fr/http/redirection/metier/slug/MET.761;;"pas de publication Onisep spécifique";;;"GFE F : mécanique";;;;"mécanique/construction navale"
"ingénieur / ingénieure en énergie solaire";https://www.onisep.fr/http/redirection/metier/slug/MET.894;"Les métiers de l'environnement et du développement durable";Parcours;2020;9782273015042;"GFE H : électricité, énergie, électronique";;;;"environnement, énergies, propreté/énergies"
"ingénieur / ingénieure en génie climatique";https://www.onisep.fr/http/redirection/metier/slug/MET.61;"Les métiers de l'énergie";Parcours;2022;9782273015998;"GFE H : électricité, énergie, électronique";F1106;"Ingénierie et études du BTP";https://candidat.francetravail.fr/marche-du-travail/fichemetierrome?codeRome=F1106;"environnement, énergies, propreté/énergies| construction, architecture, travaux publics/équipement technique"
"ingénieur / ingénieure en métrologie";https://www.onisep.fr/http/redirection/metier/slug/MET.460;"Les métiers de l'électronique et de la robotique";Parcours;2022;9782273015974;"GFE J : transformation des matériaux, procédés (biologie, chimie, physique)";H1206;"Management et ingénierie études, recherche et développement industriel";https://candidat.francetravail.fr/marche-du-travail/fichemetierrome?codeRome=H1206;"mécanique/automatismes| électricité, électronique, robotique/électronique| sciences/physique"
"ingénieur / ingénieure environnement";https://www.onisep.fr/http/redirection/metier/slug/MET.433;"Les métiers de l'environnement et du développement durable";Parcours;2020;9782273015042;"GFE T : environnement, nettoyage, sécurité";H1302;"Management et ingénierie Hygiène Sécurité Environnement -HSE- industriels";https://candidat.francetravail.fr/marche-du-travail/fichemetierrome?codeRome=H1302;"environnement, énergies, propreté/déchets, pollutions et risques| environnement, énergies, propreté/environnement (généralités)| environnement, énergies, propreté/gestion de l'eau| armée, sécurité/sécurité, prévention"
"ingénieur / ingénieure fluides, énergies, réseaux, environnement";https://www.onisep.fr/http/redirection/metier/slug/MET.725;"Les métiers de l'énergie";Parcours;2022;9782273015998;"GFE T : environnement, nettoyage, sécurité";;;;"environnement, énergies, propreté/énergies| environnement, énergies, propreté/environnement (généralités)| sciences/physique"
"ingénieur / ingénieure frigoriste";https://www.onisep.fr/http/redirection/metier/slug/MET.603;;"pas de publication Onisep spécifique";;;"GFE H : électricité, énergie, électronique";H1206;"Management et ingénierie études, recherche et développement industriel";https://candidat.francetravail.fr/marche-du-travail/fichemetierrome?codeRome=H1206;"environnement, énergies, propreté/énergies"
"ingénieur / ingénieure logiciel";https://www.onisep.fr/http/redirection/metier/slug/MET.707;"Les métiers de l'informatique";Parcours;2022;9782273016155;"GFE P : Gestion et traitement de l'information (informatique, statistique, documentation)";M1805;"Études et développement informatique";https://candidat.francetravail.fr/marche-du-travail/fichemetierrome?codeRome=M1805;"informatique, Internet/développement, programmation, logiciel"
"ingénieur / ingénieure logistique";https://www.onisep.fr/http/redirection/metier/slug/MET.733;"Ecoles de commerce";Dossiers;2024;9782273016582;"GFE O : transport, logistique";N1301;"Conception et organisation de la chaîne logistique";https://candidat.francetravail.fr/marche-du-travail/fichemetierrome?codeRome=N1301;"logistique, transport/logistique"
"ingénieur / ingénieure méthodes mécaniques";https://www.onisep.fr/http/redirection/metier/slug/MET.499;"Les métiers de l'automobile";Parcours;2020;9782273015172;"GFE F : mécanique";H1402;"Management et ingénierie méthodes et industrialisation";https://candidat.francetravail.fr/marche-du-travail/fichemetierrome?codeRome=H1402;"matières premières, fabrication, industries/études et développement| mécanique/mécanique (généralités)| matières premières, fabrication, industries/méthodes industrialisation"
"ingénieur / ingénieure nucléaire";https://www.onisep.fr/http/redirection/metier/slug/MET.325;"Les métiers de l'environnement et du développement durable";Parcours;2020;9782273015042;"GFE H : électricité, énergie, électronique";H1302;"Management et ingénierie Hygiène Sécurité Environnement -HSE- industriels";https://candidat.francetravail.fr/marche-du-travail/fichemetierrome?codeRome=H1302;"environnement, énergies, propreté/énergies| sciences/physique| armée, sécurité/sécurité, prévention"
"ingénieur / ingénieure process aval";https://www.onisep.fr/http/redirection/metier/slug/MET.617;"Les métiers de l'énergie";Parcours;2022;9782273015998;"GFE H : électricité, énergie, électronique";H1302;"Management et ingénierie Hygiène Sécurité Environnement -HSE- industriels";https://candidat.francetravail.fr/marche-du-travail/fichemetierrome?codeRome=H1302;"environnement, énergies, propreté/énergies"
"ingénieur / ingénieure qualité moteur";https://www.onisep.fr/http/redirection/metier/slug/MET.492;"Les métiers de l'automobile";Parcours;2020;9782273015172;"GFE F : mécanique";H1502;"Management et ingénierie qualité industrielle";https://candidat.francetravail.fr/marche-du-travail/fichemetierrome?codeRome=H1502;"mécanique/aéronautique| mécanique/automobile| mécanique/mécanique (généralités)"
"ingénieur / ingénieure recherche et développement en agroalimentaire";https://www.onisep.fr/http/redirection/metier/slug/MET.882;"Les métiers de l'agroalimentaire";Parcours;2019;9782273014557;"GFE K : production alimentaire";;;;"matières premières, fabrication, industries/agroalimentaire| matières premières, fabrication, industries/études et développement"
"ingénieur / ingénieure système";https://www.onisep.fr/http/redirection/metier/slug/MET.13;"Les métiers de l'informatique";Parcours;2022;9782273016155;"GFE P : Gestion et traitement de l'information (informatique, statistique, documentation)";M1802;"Expertise et support en systèmes d'information";https://candidat.francetravail.fr/marche-du-travail/fichemetierrome?codeRome=M1802;"informatique, Internet/systèmes et réseaux"
"ingénieur / ingénieure télécoms et réseaux";https://www.onisep.fr/http/redirection/metier/slug/MET.887;"Les métiers du numérique";Parcours;2020;9782273015226;"GFE H : électricité, énergie, électronique";M1804;"Études et développement de réseaux de télécoms";https://candidat.francetravail.fr/marche-du-travail/fichemetierrome?codeRome=M1804;"électricité, électronique, robotique/électronique| informatique, Internet/systèmes et réseaux| électricité, électronique, robotique/télécommunications"
"ingénieur analogicien / ingénieure analogicienne";https://www.onisep.fr/http/redirection/metier/slug/MET.125;"Les métiers de l'industrie aéronautique et spatiale";Parcours;2023;9782273016292;"GFE H : électricité, énergie, électronique";H1206;"Management et ingénierie études, recherche et développement industriel";https://candidat.francetravail.fr/marche-du-travail/fichemetierrome?codeRome=H1206;"informatique, Internet/développement, programmation, logiciel| électricité, électronique, robotique/électronique"
"ingénieur écoconcepteur / ingénieure écoconceptrice";https://www.onisep.fr/http/redirection/metier/slug/MET.633;"Les métiers de l'environnement et du développement durable";Parcours;2020;9782273015042;"GFE T : environnement, nettoyage, sécurité";;;;"environnement, énergies, propreté/environnement (généralités)| matières premières, fabrication, industries/études et développement| matières premières, fabrication, industries/matériaux"
