"libellé métier";"lien site onisep.fr";"nom publication";collection;année;gencod;GFE;"code ROME";"libellé ROME";"lien ROME";domaine/sous-domaine
agronome;https://www.onisep.fr/http/redirection/metier/slug/MET.428;"Les métiers de l'agriculture et de la forêt";Parcours;2020;9782273015219;"GFE A : agriculture";A1303;"Ingénierie en agriculture et environnement naturel";https://candidat.francetravail.fr/marche-du-travail/fichemetierrome?codeRome=A1303;"agriculture, animaux/agriculture (généralités)| matières premières, fabrication, industries/agroalimentaire"
"aide-soignant / aide-soignante";https://www.onisep.fr/http/redirection/metier/slug/MET.561;"Les métiers des associations de l'aide et du soin à domicile";"Zoom sur les métiers";2017;9782273013628;"GFE R : santé, social, soins personnels";J1501;"Soins d'hygiène, de confort du patient";https://candidat.francetravail.fr/marche-du-travail/fichemetierrome?codeRome=J1501;"santé, social, sport/paramédical"
"ambulancier / ambulancière";https://www.onisep.fr/http/redirection/metier/slug/MET.417;"Les métiers du paramédical";Parcours;2022;9782273016117;"GFE R : santé, social, soins personnels";J1305;"Conduite de véhicules sanitaires";https://candidat.francetravail.fr/marche-du-travail/fichemetierrome?codeRome=J1305;"santé, social, sport/paramédical| logistique, transport/transport"
anatomiste;https://www.onisep.fr/http/redirection/metier/slug/MET.921;"Les métiers du médical";Parcours;2021;9782273015813;"GFE R : santé, social, soins personnels";;;;"sciences/biologie| santé, social, sport/médical"
"animateur / animatrice 2D et 3D";https://www.onisep.fr/http/redirection/metier/slug/MET.778;"Les métiers du numérique";Parcours;2020;9782273015226;"GFE U : communication, médias";L1510;"Film d'animation et effets spéciaux";https://candidat.francetravail.fr/marche-du-travail/fichemetierrome?codeRome=L1510;"arts, culture, artisanat/arts graphiques| information-communication, audiovisuel/audiovisuel"
"animateur / animatrice de bassin versant";https://www.onisep.fr/http/redirection/metier/slug/MET.227;"Les métiers de l'environnement et du développement durable";Parcours;2020;9782273015042;"GFE T : environnement, nettoyage, sécurité";A1303;"Ingénierie en agriculture et environnement naturel";https://candidat.francetravail.fr/marche-du-travail/fichemetierrome?codeRome=A1303;"environnement, énergies, propreté/gestion de l'eau"
"animateur / animatrice de radio et de télévision";https://www.onisep.fr/http/redirection/metier/slug/MET.582;"Les métiers de l'information et de la communication";Parcours;2021;9782273015950;"GFE U : communication, médias";L1103;"Présentation de spectacles ou d'émissions";https://candidat.francetravail.fr/marche-du-travail/fichemetierrome?codeRome=L1103;"information-communication, audiovisuel/audiovisuel| information-communication, audiovisuel/journalisme, édition, publicité"
"animateur / animatrice de tourisme";https://www.onisep.fr/http/redirection/metier/slug/MET.803;"Les métiers du tourisme";Parcours;2023;9782273016339;"GFE S : hôtellerie,  tourisme, loisirs";G1202;"Animation d'activités culturelles ou ludiques";https://candidat.francetravail.fr/marche-du-travail/fichemetierrome?codeRome=G1202;"hôtellerie-restauration, tourisme/tourisme"
"animateur nature / animatrice nature";https://www.onisep.fr/http/redirection/metier/slug/MET.77;"Les métiers de l'animation";"Zoom sur les métiers";2019;9782273014892;"GFE T : environnement, nettoyage, sécurité";G1202;"Animation d'activités culturelles ou ludiques";https://candidat.francetravail.fr/marche-du-travail/fichemetierrome?codeRome=G1202;"hôtellerie-restauration, tourisme/tourisme"
"animateur nature / animatrice nature";https://www.onisep.fr/http/redirection/metier/slug/MET.77;"Travailler auprès des enfants";Parcours;2023;9782273016780;"GFE T : environnement, nettoyage, sécurité";G1202;"Animation d'activités culturelles ou ludiques";https://candidat.francetravail.fr/marche-du-travail/fichemetierrome?codeRome=G1202;"hôtellerie-restauration, tourisme/tourisme"
